timestamp,ax_g,ay_g,az_g,temp_C
1765930302.192811012,-0.087,-0.051,0.988,20.79
1765930302.193724871,-0.095,-0.035,0.950,20.77
1765930302.194179058,-0.069,-0.055,0.995,20.73
1765930302.194502831,-0.054,-0.001,0.967,20.73
1765930302.194825888,-0.195,0.145,1.004,20.79
1765930302.210457087,-0.067,-0.052,1.014,20.75
1765930302.311202049,-0.066,-0.041,1.003,20.75
1765930302.412149906,-0.039,-0.065,1.056,20.83
1765930302.513528109,-0.067,-0.071,1.046,20.77
1765930302.613948822,-0.089,-0.059,0.982,20.77
1765930302.715583086,-0.072,-0.041,1.009,20.71
1765930302.816090107,-0.061,-0.009,1.039,20.73
1765930302.916551828,-0.098,-0.041,1.007,20.73
1765930303.018618822,-0.063,-0.040,1.017,20.79
1765930303.119515896,-0.066,-0.054,1.003,20.83
1765930303.219591856,-0.064,-0.025,0.992,20.69
1765930303.320187807,-0.064,0.050,0.937,20.69
1765930303.421213865,-0.080,-0.042,1.003,20.69
1765930303.522413015,-0.080,-0.038,1.003,20.77
1765930303.624114990,-0.071,-0.036,0.977,20.77
1765930303.724545002,-0.034,-0.047,1.008,20.87
1765930303.826224089,-0.058,-0.047,0.993,20.83
1765930303.927363157,-0.039,0.017,1.060,20.83
1765930304.028469086,-0.367,-0.071,0.512,20.75
1765930304.129166126,-0.089,-0.052,0.972,20.83
1765930304.230846882,-0.076,-0.039,1.008,20.79
1765930304.331504107,-0.108,-0.088,0.956,20.79
1765930304.431859016,-0.070,0.097,1.032,20.81
1765930304.533942938,-0.055,-0.054,1.019,20.85
1765930304.633805037,-0.067,-0.044,1.008,20.85
1765930304.735109806,-0.067,-0.074,1.034,20.95
1765930304.836336136,-0.018,-0.118,1.086,20.79
1765930304.937077045,-0.076,-0.035,1.022,20.79
1765930305.038360119,-0.074,-0.047,0.994,20.65
1765930305.139136076,-0.042,-0.021,1.019,20.85
1765930305.240771055,-0.086,-0.074,0.966,20.77
1765930305.341629982,-0.075,-0.050,0.995,20.77
1765930305.442440033,-0.070,-0.018,1.051,20.67
1765930305.543172121,-0.082,-0.040,1.019,20.71
1765930305.644378901,-0.077,-0.003,1.029,20.71
1765930305.746037006,-0.054,-0.052,0.995,20.69
1765930305.845834017,-0.037,-0.091,1.009,20.91
1765930305.946985006,0.191,-0.197,1.373,20.91
1765930306.047752857,-0.090,-0.060,1.023,20.79
1765930306.149674892,-0.074,-0.040,1.005,20.85
1765930306.250241995,-0.081,-0.027,0.977,20.85
1765930306.350908995,-0.084,-0.022,1.026,20.79
1765930306.452728987,-0.062,-0.068,0.986,20.85
1765930306.553436995,-0.061,-0.036,1.004,20.79
1765930306.654501200,-0.059,-0.048,1.005,20.79
1765930306.755635023,-0.106,-0.011,0.978,20.91
1765930306.856134892,-0.068,-0.030,1.001,20.83
1765930306.957028151,-0.080,-0.063,0.985,20.83
1765930307.058569908,-0.079,-0.039,1.000,20.75
1765930307.159854174,-0.047,-0.113,1.001,20.71
1765930307.260299921,-0.062,-0.045,1.007,20.71
1765930307.361060143,-0.034,-0.032,1.024,20.81
1765930307.462805033,-0.075,-0.045,1.011,20.71
1765930307.562735081,-0.091,-0.031,1.004,20.85
1765930307.664281130,-0.070,-0.052,0.999,20.85
1765930307.764850855,-0.070,-0.049,1.003,20.83
1765930307.866321802,-0.100,0.164,1.198,20.73
1765930307.968054056,-0.082,-0.056,0.985,20.73
1765930308.068723917,-0.074,-0.042,1.008,20.99
1765930308.169939041,-0.066,-0.032,1.013,20.83
1765930308.270508051,0.000,0.065,1.040,20.83
1765930308.371370077,-0.063,-0.051,0.983,20.93
1765930308.471893072,-0.053,-0.026,1.026,20.81
1765930308.574098825,-0.072,-0.036,0.975,20.81
1765930308.674863100,-0.046,-0.139,0.965,20.69
1765930308.775490999,-0.072,-0.032,1.026,20.79
1765930308.877143145,-0.073,-0.051,1.024,20.83
1765930308.977111101,-0.079,-0.022,0.983,20.83
1765930309.077870131,-0.085,-0.027,1.006,20.81
1765930309.179230928,-0.060,-0.044,1.000,20.77
1765930309.280323029,-0.071,-0.061,1.006,20.77
1765930309.380976915,-0.074,-0.069,1.014,20.87
1765930309.482618809,-0.065,-0.019,1.012,20.81
1765930309.582962990,-0.074,-0.050,0.995,20.81
1765930309.685129881,-0.066,-0.030,1.011,20.83
1765930309.785338879,-0.144,-0.200,0.749,20.79
1765930309.886309147,-0.069,-0.053,1.006,20.83
1765930309.986752033,-0.064,-0.047,1.011,20.83
