timestamp,ax_g,ay_g,az_g,temp_C
1765929837.457306147,-0.075,-0.046,1.004,21.19
1765929837.459010124,-0.077,-0.036,1.005,21.15
1765929837.459573984,-0.071,-0.047,1.003,21.11
1765929837.460032940,-0.073,-0.044,1.005,21.11
1765929837.460855961,-0.064,-0.047,1.009,21.03
1765929837.463812113,-0.072,-0.044,0.987,21.07
1765929837.565296173,-0.069,-0.051,1.000,20.99
1765929837.666139841,-0.064,-0.048,1.009,20.99
1765929837.766825914,-0.081,-0.037,1.001,21.01
1765929837.867978096,-0.080,-0.044,1.006,20.89
1765929837.968911171,-0.073,-0.036,1.000,20.89
1765929838.070979118,-0.065,-0.046,1.001,21.01
1765929838.170669079,-0.064,-0.051,0.999,21.11
1765929838.271673203,-0.065,-0.049,1.001,21.11
1765929838.373346090,-0.075,-0.042,1.009,21.13
1765929838.474854946,-0.074,-0.051,1.005,21.01
1765929838.575837851,-0.069,-0.037,1.010,21.19
1765929838.679541111,-0.069,-0.033,1.003,21.19
1765929838.777019978,-0.069,-0.040,0.998,21.19
1765929838.878178120,-0.063,-0.052,1.001,21.21
1765929838.978871107,-0.069,-0.051,0.996,21.21
1765929839.080487013,-0.072,-0.053,1.010,21.21
1765929839.180746078,-0.083,-0.042,1.002,21.11
1765929839.282544851,-0.074,-0.039,1.006,21.11
1765929839.383583069,-0.071,-0.046,1.004,21.17
1765929839.484752893,-0.061,-0.043,0.995,21.25
1765929839.584941149,-0.063,-0.053,1.004,21.25
1765929839.687045097,-0.072,-0.056,1.001,21.25
1765929839.787363052,-0.074,-0.045,1.001,21.05
1765929839.887907028,-0.070,-0.039,1.006,20.99
1765929839.988585949,-0.079,-0.036,0.998,20.99
1765929840.090198994,-0.065,-0.049,1.008,21.07
1765929840.192037106,-0.072,-0.042,1.001,21.17
1765929840.292320967,-0.074,-0.055,0.991,21.17
1765929840.393964052,-0.059,-0.055,1.011,21.05
1765929840.493279934,-0.071,-0.051,1.003,21.17
1765929840.595055103,-0.075,-0.045,1.003,21.17
1765929840.696540833,-0.073,-0.041,1.005,20.97
1765929840.796252966,-0.071,-0.036,1.013,21.15
1765929840.897643089,-0.063,-0.050,1.009,21.09
1765929840.999464989,-0.060,-0.061,1.020,21.09
