timestamp,ax_g,ay_g,az_g,temp_C
1765931611.448845148,-0.072,-0.048,0.989,20.91
1765931611.449478865,-0.079,-0.046,0.993,20.83
1765931611.449904203,-0.075,-0.048,1.003,20.83
1765931611.450311899,-0.083,-0.045,1.010,20.85
1765931611.450725079,-0.077,-0.053,1.007,20.85
1765931611.484253883,-0.064,-0.049,1.009,20.85
1765931611.585796118,-0.077,-0.048,1.000,20.91
1765931611.687528849,-0.079,0.009,1.001,20.99
1765931611.787789106,-0.071,-0.045,0.998,20.89
1765931611.888455868,-0.069,-0.044,1.005,20.89
1765931611.989928961,-0.082,-0.052,1.009,20.93
1765931612.090750933,-0.073,-0.043,1.019,21.07
1765931612.191335917,-0.072,-0.054,1.009,21.07
1765931612.293735027,-0.070,-0.052,1.000,21.01
1765931612.394330978,-0.066,-0.048,1.001,21.09
1765931612.495074987,-0.077,-0.064,0.981,21.09
1765931612.595794916,-0.070,-0.042,0.994,20.91
1765931612.695780039,-0.078,-0.046,0.995,20.93
1765931612.796974182,-0.067,-0.048,1.000,20.93
1765931612.898897886,-0.079,-0.054,1.013,20.99
1765931613.000346184,-0.067,-0.056,1.006,21.05
1765931613.100589037,-0.077,-0.049,1.002,20.93
1765931613.202333927,-0.076,-0.048,0.997,20.93
1765931613.303426981,-0.066,-0.035,1.007,20.89
1765931613.403836966,-0.069,-0.039,1.000,21.09
1765931613.505686998,-0.079,-0.047,0.997,21.09
1765931613.605744123,-0.063,-0.007,1.007,21.03
1765931613.706536055,-0.072,-0.058,1.015,21.17
1765931613.808599949,-0.071,-0.053,1.011,21.17
1765931613.909146070,-0.070,-0.043,1.004,21.11
1765931614.009797812,-0.167,-0.113,0.898,21.15
1765931614.110979080,-0.067,-0.042,1.001,21.15
1765931614.211918116,-0.076,-0.051,0.996,21.15
1765931614.312496185,-0.067,-0.042,0.998,21.03
1765931614.414367914,-0.087,0.023,1.046,21.17
1765931614.514895916,-0.086,-0.043,1.006,21.17
1765931614.615506887,-0.079,-0.052,1.006,21.09
1765931614.717115879,-0.152,-0.233,0.358,21.15
1765931614.817584991,-0.033,-0.071,0.996,21.15
1765931614.919618130,-0.059,-0.051,1.012,21.05
1765931615.019770145,-0.067,-0.043,0.999,21.01
1765931615.121402979,-0.082,-0.105,1.238,21.01
1765931615.222309828,-0.119,-0.051,0.991,21.01
1765931615.322858095,-0.073,-0.050,1.002,20.99
1765931615.424624205,-0.081,-0.045,1.006,20.97
1765931615.525169849,-0.018,-0.089,1.017,20.97
1765931615.626091957,-0.041,-0.046,1.015,21.03
1765931615.727193117,-0.062,-0.049,0.998,21.01
1765931615.827744961,-0.068,-0.047,0.992,21.01
1765931615.928300142,-0.052,-0.048,1.040,21.03
1765931616.029942989,-0.095,-0.040,0.997,20.99
1765931616.131505966,-0.069,-0.041,0.999,20.99
1765931616.232059956,-0.010,-0.046,1.131,20.85
1765931616.331972122,-0.044,-0.057,0.971,20.91
1765931616.433829069,-0.074,-0.048,1.007,20.85
1765931616.535788059,-0.072,-0.054,1.005,20.85
1765931616.635669947,-0.301,-0.368,1.042,20.95
1765931616.736639023,-0.113,-0.034,0.984,20.99
1765931616.838855028,-0.071,-0.043,0.991,20.99
1765931616.938687086,-0.070,-0.054,1.002,20.99
1765931617.039762020,-0.018,0.014,0.837,21.15
1765931617.140401840,-0.049,-0.029,1.016,21.15
1765931617.242677927,-0.072,-0.049,1.011,21.05
1765931617.343869925,-0.075,-0.047,1.003,21.01
1765931617.443888187,-0.075,-0.154,1.061,21.01
1765931617.545088053,-0.054,-0.047,1.004,20.97
1765931617.646028996,-0.070,-0.041,1.003,21.15
1765931617.747990131,-0.036,0.009,1.064,20.99
1765931617.848062038,-0.128,0.032,0.953,20.99
1765931617.949121952,-0.105,-0.044,1.008,20.93
1765931618.049723864,-0.074,-0.046,1.011,21.11
1765931618.150735140,-0.096,-0.089,1.035,21.11
1765931618.251653910,-0.045,-0.052,1.073,21.05
1765931618.352732897,-0.056,-0.058,1.011,21.05
1765931618.454725027,-0.072,-0.051,0.998,21.05
1765931618.555546045,0.149,0.157,0.921,20.87
1765931618.655991077,-0.087,-0.063,0.997,20.85
1765931618.756757975,-0.086,-0.055,1.002,21.03
1765931618.857496977,-0.080,-0.045,1.014,21.03
1765931618.959522963,-0.014,0.007,0.967,21.01
1765931619.059329987,-0.062,-0.044,1.014,21.09
1765931619.161244869,-0.074,-0.046,1.009,21.09
1765931619.261802912,-0.118,-0.070,0.997,21.07
1765931619.363542080,-0.075,-0.078,1.046,21.05
1765931619.464356184,-0.070,-0.041,1.000,21.05
1765931619.565011024,-0.069,-0.040,1.007,20.95
1765931619.666473866,-0.085,-0.122,1.038,20.99
1765931619.767070055,-0.010,0.007,1.010,20.99
1765931619.868014097,-0.071,-0.043,1.007,20.89
1765931619.968683004,-0.073,-0.052,1.003,20.79
1765931620.070267916,-0.185,-0.227,0.856,20.91
1765931620.170703888,-0.106,-0.076,1.006,20.91
1765931620.272538900,-0.081,-0.049,0.991,21.09
1765931620.373503923,-0.070,-0.051,0.995,21.07
1765931620.474449873,0.048,0.043,1.079,21.07
1765931620.575203180,-0.090,-0.048,1.010,21.01
1765931620.676772118,-0.081,-0.047,1.004,20.91
1765931620.777086973,-0.084,-0.041,0.997,20.91
1765931620.877953053,-0.073,0.010,1.078,21.05
1765931620.978452921,-0.059,-0.051,1.000,20.81
1765931621.080911160,-0.071,-0.048,0.993,20.97
1765931621.181018829,-0.069,-0.091,0.919,20.97
1765931621.281654119,-0.049,-0.133,0.966,20.95
1765931621.383316040,-0.063,-0.035,1.006,21.11
1765931621.483686924,-0.076,-0.048,0.999,21.11
1765931621.585504055,-0.029,0.086,1.266,21.05
