timestamp,ax_g,ay_g,az_g,temp_C
1765930006.731648922,-0.077,-0.036,1.007,20.87
1765930006.732456923,-0.093,-0.004,1.131,20.89
1765930006.733017206,-0.019,-0.033,1.063,20.89
1765930006.733435869,-0.048,-0.055,1.021,20.95
1765930006.733865023,-0.060,-0.055,0.988,21.05
1765930006.740707159,0.072,-0.666,0.797,20.95
1765930006.840748072,-0.094,-0.122,1.017,20.95
1765930006.941706896,-0.068,-0.059,0.990,20.97
1765930007.043671131,-0.070,-0.052,1.004,20.99
1765930007.143822193,-0.420,-0.038,0.751,20.99
1765930007.244266033,-0.076,-0.039,1.000,21.19
1765930007.346116066,-0.071,-0.056,0.988,21.33
1765930007.446082115,0.121,-0.099,1.098,21.33
1765930007.548265934,-0.161,0.131,1.081,21.11
1765930007.648837090,-0.047,-0.008,1.025,21.09
1765930007.750064850,-0.060,-0.020,1.016,21.09
1765930007.850375891,-0.014,-0.020,1.041,20.87
1765930007.951273918,-0.015,-0.063,1.092,20.99
1765930008.051746130,-0.082,-0.056,1.024,21.15
1765930008.153141975,-0.070,-0.044,1.002,21.15
1765930008.254951954,-0.096,-0.070,1.045,21.03
1765930008.355665922,-0.066,-0.120,0.988,21.03
1765930008.455816984,-0.087,-0.050,0.995,21.03
1765930008.557562113,-0.077,-0.049,0.995,21.07
1765930008.658464909,-0.201,-0.810,0.915,20.95
1765930008.759282827,-0.101,-0.025,0.982,20.95
1765930008.860306025,-0.078,-0.062,0.998,21.01
1765930008.961475134,-0.177,0.013,0.979,21.01
1765930009.062397957,0.015,0.384,1.073,21.07
1765930009.164303780,-0.041,0.011,1.008,21.07
1765930009.265317202,-0.073,-0.033,0.997,21.01
1765930009.366394997,-0.104,-0.075,1.003,21.07
1765930009.466927052,0.025,-0.056,1.114,21.07
1765930009.567492008,-0.031,-0.065,1.015,21.09
1765930009.668554068,-0.049,-0.035,1.011,21.11
1765930009.769424915,-0.052,-0.026,0.965,21.11
1765930009.871438026,-0.076,-0.192,0.986,21.03
1765930009.971696854,-0.081,-0.042,0.996,20.93
1765930010.072965860,-0.082,-0.040,0.999,20.97
1765930010.173338890,-0.147,-0.119,1.016,20.97
1765930010.275292873,-0.101,0.005,0.950,21.03
1765930010.375287056,-0.051,-0.037,1.022,21.13
1765930010.477195978,-0.172,-0.201,1.339,21.13
1765930010.577971935,-0.376,0.329,0.817,21.13
1765930010.679321051,-0.038,0.025,1.030,21.05
1765930010.779690027,-0.093,-0.046,1.000,21.05
1765930010.881130934,-0.098,0.086,1.011,20.97
1765930010.981997013,-0.026,-0.125,1.113,21.11
1765930011.082848072,-0.053,-0.084,1.006,21.03
1765930011.184216022,-0.064,-0.057,1.003,21.03
1765930011.284857035,-0.052,-0.038,1.074,21.03
1765930011.385087013,-0.182,-0.128,0.921,21.07
1765930011.486252069,-0.120,-0.039,0.967,21.07
1765930011.587789059,-0.064,-0.031,1.009,20.91
1765930011.688905954,-0.047,-0.075,0.993,20.99
1765930011.789307833,-0.101,0.048,0.972,20.99
1765930011.891226768,-0.062,-0.041,1.015,20.87
1765930011.990921021,-0.137,-0.320,1.212,20.93
1765930012.092773199,-0.058,-0.033,0.980,20.93
1765930012.193745852,-0.044,-0.041,1.045,21.01
1765930012.294539928,-0.060,-0.045,1.008,20.99
1765930012.395485878,-0.009,0.013,1.009,21.07
1765930012.496001005,-0.166,-0.737,0.766,21.07
1765930012.598131895,-0.081,-0.126,0.974,21.01
1765930012.699299097,-0.073,-0.069,0.993,21.07
1765930012.799797058,-0.064,-0.097,1.015,21.07
1765930012.900828838,-0.263,0.062,0.817,21.07
1765930013.001121044,-0.071,-0.006,0.979,21.01
1765930013.102327108,-0.065,-0.034,1.012,21.01
1765930013.203727961,-0.093,-0.045,1.034,21.05
1765930013.305577040,-0.006,0.092,1.085,21.09
1765930013.405624151,-0.044,-0.041,1.012,21.11
1765930013.506464958,-0.146,-0.022,1.144,21.11
1765930013.607288122,-0.104,-0.018,1.066,21.09
1765930013.709224939,-0.030,-0.171,1.010,21.11
1765930013.809597969,-0.088,-0.047,1.013,21.11
1765930013.911173820,0.033,-0.015,1.048,21.07
1765930014.012651920,-0.021,-0.017,1.081,21.05
1765930014.112783909,-0.119,-0.033,0.967,21.05
1765930014.214411974,-0.082,-0.051,0.998,21.07
1765930014.315339088,-0.172,-0.182,0.950,21.09
1765930014.415616035,0.129,0.257,1.284,21.09
1765930014.516476870,-0.089,0.020,1.007,21.09
1765930014.618386030,-0.081,-0.052,0.993,21.17
1765930014.719714165,0.033,-0.177,1.025,21.21
1765930014.819509983,0.101,-0.067,1.143,21.21
1765930014.920773983,-0.041,-0.089,1.022,21.09
1765930015.022073030,-0.291,-0.555,1.970,21.17
1765930015.122102022,-0.130,-0.074,0.917,21.17
1765930015.223266125,-0.166,-0.214,0.935,21.01
1765930015.324650049,-0.100,-0.057,0.974,21.13
1765930015.425736904,-0.220,-0.091,0.971,21.13
1765930015.527202129,-0.056,-0.072,1.016,21.11
1765930015.627948999,-0.105,0.050,0.944,20.93
1765930015.728975058,-0.058,-0.016,1.011,20.97
1765930015.829541206,-0.188,0.041,0.847,20.97
1765930015.930996895,-0.097,0.004,0.987,21.03
1765930016.032289982,-0.032,-0.024,1.080,20.97
1765930016.132537127,-0.059,-0.065,1.003,20.97
1765930016.233469009,-0.069,-0.033,0.974,21.09
1765930016.334630966,-0.070,-0.369,1.016,20.99
1765930016.435925961,-0.050,-0.107,1.029,20.99
1765930016.537115812,-0.081,-0.053,1.000,20.99
1765930016.638271093,-0.060,-0.064,1.002,20.87
1765930016.738795996,-0.156,-0.050,1.006,21.03
1765930016.840837002,-0.062,-0.031,0.996,21.03
1765930016.940923929,-0.039,-0.100,0.831,20.93
1765930017.041472912,-0.093,-0.076,1.004,20.91
1765930017.143517971,0.001,0.057,1.019,20.91
1765930017.243072033,-0.077,-0.022,1.020,20.83
1765930017.343981028,-0.122,0.001,1.047,20.87
1765930017.445966005,-0.072,-0.041,1.079,20.87
1765930017.546908855,-0.030,-0.118,1.010,20.97
1765930017.647840977,-0.064,-0.061,1.001,20.91
1765930017.748799086,-0.022,-0.058,1.038,21.01
1765930017.850204945,-0.043,-0.380,0.872,21.01
1765930017.951293945,-0.160,-0.061,0.986,21.03
1765930018.052142143,-0.075,-0.033,0.990,21.01
1765930018.152443886,-0.030,-0.102,0.991,21.01
1765930018.254463911,-0.162,0.263,0.781,20.99
1765930018.355176926,-0.049,-0.008,1.022,20.97
1765930018.456979036,-0.071,-0.059,1.004,20.97
