timestamp,ax_g,ay_g,az_g,temp_C
1765931344.292042971,-0.072,-0.052,1.014,21.75
1765931344.292721987,-0.137,-0.083,1.039,21.81
1765931344.293153048,-0.078,-0.044,0.998,21.81
1765931344.293560028,-0.071,-0.043,0.994,21.73
1765931344.293972969,-0.082,-0.045,0.995,21.87
1765931344.314806938,-0.056,-0.065,1.005,21.87
1765931344.414741039,-0.069,-0.051,1.007,21.91
1765931344.515805960,-0.071,-0.052,1.009,21.89
1765931344.617834091,-0.073,-0.046,0.995,21.89
1765931344.718507051,-0.073,-0.029,0.995,22.07
1765931344.819190979,-0.076,-0.045,0.988,21.89
1765931344.920691013,-0.061,-0.045,1.008,21.89
1765931345.020967960,-0.116,0.003,1.059,21.93
1765931345.122939825,-0.071,-0.047,1.007,21.81
1765931345.223280191,-0.072,-0.049,0.998,21.97
1765931345.325000048,-0.073,-0.053,0.988,21.97
1765931345.425459862,-0.133,0.002,0.980,22.09
1765931345.526839972,-0.086,-0.053,1.005,22.11
1765931345.627928019,-0.073,-0.041,1.010,22.11
1765931345.728298903,-0.070,-0.044,1.017,21.97
1765931345.828590155,-0.043,-0.027,0.987,21.81
1765931345.931207895,-0.067,-0.053,0.990,21.81
1765931346.030847073,-0.078,-0.053,1.004,21.55
1765931346.132562876,-0.077,-0.049,1.005,21.51
1765931346.234670162,-0.077,-0.058,1.023,21.45
1765931346.335014820,-0.067,-0.045,1.017,21.45
1765931346.435883999,-0.067,-0.038,1.000,21.19
1765931346.537446976,-0.087,-0.086,0.966,21.13
1765931346.638113976,-0.080,-0.054,0.985,21.13
1765931346.738424063,-0.067,-0.048,1.012,21.17
1765931346.838970900,-0.077,-0.045,1.007,21.19
1765931346.941581011,-0.101,-0.061,1.023,21.19
1765931347.042371035,-0.067,-0.043,1.006,21.01
1765931347.142565966,-0.069,-0.043,0.998,21.11
1765931347.243364096,-0.061,-0.052,0.992,21.11
1765931347.345387936,-0.061,-0.023,0.997,21.03
1765931347.446239948,-0.078,-0.060,1.015,21.17
1765931347.546946049,-0.083,-0.048,1.010,21.19
1765931347.647444963,-0.077,-0.045,0.999,21.19
1765931347.747794867,-0.050,-0.064,1.017,21.19
1765931347.848973036,-0.065,-0.040,0.998,21.17
1765931347.950308084,-0.075,-0.044,0.994,21.17
1765931348.052364111,-0.089,-0.039,1.004,21.21
1765931348.152772188,-0.063,-0.052,1.010,21.19
1765931348.253331900,-0.076,-0.053,1.009,21.19
1765931348.354467154,-0.076,-0.052,0.996,21.17
1765931348.455494881,-0.098,-0.020,0.943,21.15
1765931348.556340933,-0.060,-0.042,0.995,21.13
1765931348.657609940,-0.068,-0.044,1.005,21.13
1765931348.759440899,-0.073,-0.054,1.004,21.13
1765931348.858888865,-0.076,-0.051,0.958,21.05
1765931348.960660934,-0.066,-0.046,1.005,21.05
1765931349.062170982,-0.074,-0.048,1.001,20.97
1765931349.163226843,-0.073,-0.046,0.996,21.01
1765931349.263919115,-0.040,-0.003,1.021,21.01
1765931349.364573956,-0.076,-0.041,1.006,20.85
1765931349.465647221,-0.076,-0.053,1.006,20.91
1765931349.567526817,-0.076,-0.058,1.003,20.91
1765931349.668261051,-0.051,-0.058,0.992,20.91
1765931349.768751144,-0.073,-0.050,0.993,21.03
1765931349.870028019,-0.080,-0.051,1.003,21.05
1765931349.971318007,-0.075,-0.031,1.003,21.05
1765931350.071864128,-0.074,-0.011,1.014,20.95
1765931350.173176050,-0.076,-0.052,1.005,20.99
1765931350.273410082,-0.071,-0.053,0.999,20.99
1765931350.375365019,-0.086,-0.096,0.994,20.95
1765931350.476069212,-0.074,-0.057,0.996,20.79
1765931350.577019930,-0.082,-0.046,1.005,20.79
1765931350.678098917,-0.071,-0.038,1.011,20.91
1765931350.778701067,-0.123,-0.027,0.954,20.83
1765931350.878793955,-0.081,-0.047,1.002,20.83
1765931350.980396986,-0.072,-0.057,0.994,20.97
1765931351.082607031,-0.076,-0.053,0.997,21.01
1765931351.183431864,-0.079,-0.070,1.003,21.01
1765931351.284006834,-0.079,-0.048,1.009,21.01
1765931351.385444164,-0.078,-0.041,1.012,20.87
1765931351.486446142,-0.068,-0.029,0.997,21.05
1765931351.587205172,-0.083,-0.058,1.006,21.05
1765931351.687642813,-0.068,-0.052,0.992,20.99
1765931351.788740158,-0.075,-0.050,0.999,21.09
1765931351.889998198,-0.062,-0.048,1.016,21.09
1765931351.992393017,-0.075,-0.033,1.008,20.97
1765931352.091955900,-0.080,-0.036,1.017,21.11
1765931352.193971872,-0.071,-0.051,1.005,21.05
1765931352.294983864,-0.042,0.035,1.105,21.05
1765931352.396048784,-0.063,-0.059,0.994,21.09
1765931352.496789932,-0.067,-0.049,0.993,20.95
1765931352.597312927,-0.076,-0.043,1.012,20.95
1765931352.698778152,-0.059,-0.079,1.064,20.93
1765931352.800915956,-0.082,-0.036,1.005,21.03
1765931352.901268959,-0.075,-0.049,1.004,21.03
1765931353.002469778,-0.060,-0.048,0.996,20.93
1765931353.104122162,-0.078,-0.045,0.986,21.01
1765931353.205027103,-0.070,-0.056,1.003,21.13
1765931353.305539131,-0.081,-0.047,1.011,21.13
1765931353.407289028,-0.074,-0.051,1.015,20.91
1765931353.508411884,-0.062,-0.026,1.001,20.91
1765931353.609083891,-0.076,-0.041,1.003,20.91
1765931353.710685015,-0.065,-0.054,1.000,20.99
1765931353.811444044,-0.072,-0.026,0.993,20.97
1765931353.912473202,-0.079,-0.028,0.998,20.97
1765931354.013972044,-0.073,-0.049,1.012,21.11
1765931354.115016937,-0.084,-0.044,1.003,21.07
1765931354.216445923,-0.203,-0.152,0.765,21.07
1765931354.316916943,-0.073,-0.059,1.005,21.09
1765931354.418138981,-0.071,-0.056,0.996,20.81
1765931354.519562006,-0.073,-0.050,1.000,20.83
1765931354.621126890,-0.050,0.275,0.915,20.83
1765931354.722330809,-0.085,-0.049,0.999,20.83
1765931354.822937012,-0.076,-0.051,1.000,20.99
1765931354.924325228,-0.074,-0.049,1.010,20.99
1765931355.025349855,-0.062,-0.105,1.033,20.97
1765931355.126572132,-0.076,-0.059,0.999,21.11
1765931355.228036165,-0.075,-0.055,1.005,21.11
1765931355.328968048,-0.068,-0.062,1.017,21.07
1765931355.429188013,-0.100,-0.072,0.997,21.07
1765931355.531042099,-0.075,-0.044,1.001,21.19
1765931355.632311106,-0.077,-0.041,0.997,21.19
1765931355.733705044,-0.060,0.031,0.934,21.09
1765931355.834192991,-0.073,-0.049,1.013,20.91
1765931355.934823990,-0.074,-0.059,1.015,20.91
1765931356.037016153,-0.074,-0.059,1.013,20.93
1765931356.137752056,-0.144,0.042,0.843,20.93
1765931356.238225937,-0.080,-0.052,0.988,20.93
1765931356.339454889,-0.068,-0.040,0.995,21.07
