timestamp,ax_g,ay_g,az_g,temp_C
1765930453.432158947,-0.060,-0.097,1.025,20.79
1765930453.433186054,-0.077,-0.030,1.023,21.05
1765930453.433598995,-0.110,-0.063,0.973,21.05
1765930453.433922052,-0.206,-0.482,0.887,20.91
1765930453.434245110,-0.047,-0.052,0.983,20.83
1765930453.509768963,-0.047,-0.043,1.011,20.83
1765930453.610587835,-0.072,-0.047,1.010,20.93
1765930453.711245060,-0.200,-0.181,0.785,20.77
1765930453.812815189,-0.079,-0.034,1.019,20.77
1765930453.912817955,-0.094,-0.066,0.990,20.81
1765930454.014628172,-0.063,-0.024,1.020,20.97
1765930454.115663767,-0.078,-0.118,1.089,20.91
1765930454.216032028,-0.049,-0.047,1.010,20.91
1765930454.317634106,-0.054,-0.036,1.005,20.89
1765930454.419434071,-0.076,-0.038,1.012,20.93
1765930454.519173145,-0.066,-0.058,1.014,20.93
1765930454.620357037,-0.077,-0.046,1.001,20.97
1765930454.721006155,-0.069,-0.033,1.010,20.87
1765930454.822386026,0.006,-0.243,1.065,20.87
1765930454.923728943,-0.084,-0.052,0.992,20.79
1765930455.025445938,-0.067,-0.044,1.004,20.83
1765930455.125236988,-0.084,-0.056,1.018,20.83
1765930455.226794004,-0.084,0.048,0.938,20.79
1765930455.326591015,-0.082,-0.046,1.000,20.75
1765930455.428313017,-0.071,-0.038,1.003,20.93
1765930455.529248953,-0.065,-0.024,0.989,20.93
1765930455.630798101,-0.085,-0.075,0.972,20.85
1765930455.732122898,-0.063,-0.046,0.996,20.91
1765930455.833570004,-0.078,-0.052,0.996,20.91
1765930455.934015036,-0.077,-0.038,0.996,20.87
1765930456.034090996,-0.132,-0.070,0.961,20.75
1765930456.136313200,-0.066,-0.046,0.995,20.75
1765930456.237349987,-0.051,-0.041,1.009,20.81
1765930456.338096142,-0.077,-0.068,1.003,20.89
1765930456.438014984,-0.035,-0.028,1.085,20.93
1765930456.539493084,-0.073,-0.041,1.008,20.93
1765930456.641059160,-0.079,-0.038,1.016,20.89
1765930456.741305113,-0.087,0.082,1.073,20.89
1765930456.842691183,-0.077,-0.049,1.000,20.89
1765930456.943367958,-0.053,-0.040,1.008,20.89
1765930457.043950081,-0.063,-0.066,0.992,20.99
1765930457.144948006,-0.081,-0.100,0.976,20.99
1765930457.246621847,-0.086,-0.065,1.007,20.97
1765930457.347275972,-0.092,-0.058,0.995,20.93
1765930457.448881865,-0.070,-0.031,1.016,20.93
1765930457.550535917,-0.040,-0.146,1.053,20.85
1765930457.651853085,-0.070,-0.032,1.020,20.91
1765930457.751724005,-0.084,-0.065,0.992,20.83
1765930457.852235079,-0.086,-0.053,1.018,20.83
1765930457.953676939,-0.131,-0.044,0.972,20.91
1765930458.055125952,-0.076,-0.048,0.991,20.81
1765930458.156044006,-0.070,-0.035,0.991,20.81
1765930458.256044149,-0.070,-0.067,1.007,20.83
1765930458.357605934,-0.068,-0.035,1.044,20.93
1765930458.458292961,-0.064,-0.057,0.998,20.93
1765930458.560468912,-0.081,-0.047,1.022,20.89
1765930458.661324978,-0.375,0.124,0.425,20.87
1765930458.762264013,-0.092,-0.047,0.981,20.87
1765930458.863259792,-0.061,-0.030,1.015,20.87
1765930458.964015007,-0.065,-0.060,1.004,20.89
1765930459.064872980,-0.065,-0.246,1.177,20.87
1765930459.165485144,-0.057,-0.058,1.016,20.87
1765930459.266213179,-0.081,-0.044,1.004,20.97
1765930459.368506908,-0.072,-0.034,1.006,21.05
1765930459.469151020,-0.024,-0.026,0.946,21.05
1765930459.569962025,-0.069,-0.028,1.017,20.91
1765930459.670478106,-0.074,-0.068,0.990,20.83
1765930459.771754980,-0.071,-0.050,1.006,21.03
1765930459.872346878,-0.059,0.037,0.970,21.03
1765930459.974163055,-0.069,-0.043,1.000,20.89
1765930460.075176954,-0.047,-0.017,1.018,20.99
1765930460.176015139,-0.109,-0.425,0.709,20.99
1765930460.276992083,-0.078,-0.109,1.096,20.81
1765930460.378266811,-0.068,-0.047,0.997,20.89
1765930460.478873014,-0.066,-0.054,1.005,20.89
1765930460.579530001,-0.125,0.049,0.981,20.83
1765930460.680784941,-0.071,-0.029,0.984,20.95
1765930460.782470942,-0.074,-0.025,1.017,20.95
1765930460.883373976,-0.094,-0.061,0.996,21.07
1765930460.984079838,-0.154,0.169,0.931,20.97
1765930461.084233999,-0.071,-0.065,1.025,20.91
1765930461.186285019,-0.057,-0.052,1.009,20.91
1765930461.287276030,-0.056,-0.030,1.005,20.93
1765930461.388438940,-0.070,-0.037,1.002,20.85
1765930461.488241911,-0.067,-0.040,1.021,20.85
1765930461.589441061,-0.082,-0.061,0.979,20.85
1765930461.690234900,-0.061,-0.038,1.002,20.91
1765930461.791311979,-0.072,-0.027,1.031,20.91
1765930461.893003941,-0.067,-0.054,1.001,20.87
1765930461.993335962,-0.064,-0.034,1.014,20.81
1765930462.094778061,-0.167,0.322,1.162,20.91
1765930462.196425915,-0.066,0.010,1.027,20.91
1765930462.296773911,-0.074,-0.035,1.002,20.83
1765930462.397501945,-0.068,-0.045,0.993,20.91
1765930462.498417854,-0.105,-0.092,1.012,20.91
1765930462.599797010,-0.069,-0.067,1.010,21.01
1765930462.700890779,-0.051,-0.034,1.020,20.93
1765930462.800966978,-0.076,-0.046,1.010,20.93
1765930462.902476072,-0.015,0.019,1.045,21.05
1765930463.003642082,-0.088,-0.050,0.996,21.03
1765930463.104922771,-0.073,-0.047,1.009,20.83
1765930463.205092192,-0.045,-0.036,1.033,20.83
1765930463.306255102,0.011,-0.079,1.154,20.79
1765930463.407311916,-0.038,-0.069,1.004,20.71
1765930463.509166002,-0.056,-0.029,0.978,20.71
1765930463.609946012,-0.136,-0.014,1.057,20.81
1765930463.710577011,-0.087,-0.064,0.810,20.83
1765930463.811594009,-0.091,-0.056,1.008,20.83
1765930463.912350893,-0.044,-0.020,0.997,20.87
1765930464.014508963,-0.227,-0.169,0.811,20.81
1765930464.114273071,-0.098,0.001,0.944,20.81
1765930464.215397120,-0.092,-0.077,0.948,20.85
1765930464.316572905,-0.097,-0.037,1.018,20.79
1765930464.418066978,0.065,-0.158,1.101,20.79
1765930464.518936157,-0.032,-0.061,0.999,20.79
1765930464.619033098,0.028,-0.041,1.057,20.69
1765930464.720726013,-0.019,-0.027,1.002,20.91
1765930464.822218895,-0.161,-0.102,0.987,20.91
1765930464.922970057,-0.113,-0.075,1.012,20.91
1765930465.023249865,-0.110,-0.098,0.914,20.77
1765930465.124878168,-0.099,-0.067,0.930,20.77
1765930465.225942135,-0.024,-0.009,1.101,20.99
1765930465.326663017,0.022,0.002,1.064,20.89
1765930465.428200006,0.073,-0.072,1.110,20.83
1765930465.528823137,-0.056,-0.267,0.891,20.83
1765930465.629063845,-0.304,-0.006,1.073,20.79
1765930465.730692148,-0.264,-0.117,0.846,20.95
1765930465.832215071,0.104,-0.039,1.036,20.95
1765930465.932504177,-0.402,-0.279,0.418,20.99
1765930466.033670902,-0.196,0.010,1.016,20.95
1765930466.133936882,-0.123,-0.076,1.016,20.95
1765930466.235755920,0.175,-0.087,1.123,20.95
1765930466.337210178,-0.109,-0.115,1.015,20.99
1765930466.438318014,-0.141,-0.184,1.040,20.91
1765930466.539263010,0.060,-0.133,1.123,20.91
1765930466.639775038,0.135,-0.060,1.114,21.05
1765930466.740139961,0.151,-0.167,0.872,21.01
1765930466.841359854,0.070,-0.083,0.953,21.01
1765930466.942275047,-0.235,-0.095,0.965,20.93
1765930467.044417143,0.015,-0.006,0.923,20.83
1765930467.145050764,0.107,0.015,1.255,20.83
1765930467.245373964,-0.056,-0.101,0.907,20.77
1765930467.347036839,-0.088,-0.075,0.879,20.87
1765930467.447780132,-0.014,-0.137,1.043,20.87
1765930467.549153090,-0.133,-0.025,1.008,20.75
1765930467.649739027,-0.093,0.071,1.019,20.85
1765930467.750800848,-0.260,-0.095,1.000,20.99
1765930467.851450920,-0.415,-0.623,0.497,20.99
1765930467.953193903,-0.113,0.020,1.007,20.95
1765930468.054107904,-0.196,-0.314,0.825,20.79
1765930468.154490948,-0.005,-0.088,1.062,20.79
1765930468.255656004,0.121,0.440,1.204,20.77
1765930468.357232809,-0.253,0.009,0.968,20.81
1765930468.457499981,-0.044,0.100,1.113,20.81
1765930468.559319019,-0.231,0.018,1.006,20.75
1765930468.659229040,0.278,-0.322,1.050,20.85
1765930468.761274815,-0.013,-0.152,0.786,20.85
1765930468.861779928,-0.159,0.039,1.076,20.85
1765930468.962466002,-0.041,-0.126,1.046,20.77
1765930469.064445972,-0.049,0.093,1.146,20.67
1765930469.165235043,-0.066,-0.224,1.075,20.67
1765930469.265751123,0.026,-0.158,0.938,20.65
1765930469.366683960,0.006,0.102,1.082,20.75
1765930469.467147112,-0.120,0.033,1.049,20.75
1765930469.568430185,0.078,-0.205,1.033,20.93
1765930469.669389963,-0.288,-0.064,1.237,20.91
1765930469.770493984,-0.327,-0.608,0.183,20.91
1765930469.872533083,-0.085,0.212,1.388,20.77
1765930469.972848892,0.064,-0.122,0.899,20.71
1765930470.074409008,-0.252,-0.026,0.997,20.77
1765930470.174806118,-0.058,0.012,1.115,20.77
1765930470.275496960,-0.036,0.065,1.225,20.71
1765930470.376621962,-0.248,-0.050,1.003,20.83
1765930470.477947950,-0.023,-0.186,0.880,20.83
1765930470.578343868,-0.150,-0.092,0.794,20.73
1765930470.679400921,0.032,-0.187,1.015,20.63
1765930470.781182051,0.057,-0.121,1.000,20.63
1765930470.881863832,-0.278,0.002,1.033,20.87
1765930470.982541084,-0.092,-0.299,1.106,20.79
1765930471.084637880,0.126,-0.037,1.227,20.89
1765930471.185093164,-0.158,-0.131,0.960,20.89
1765930471.285552979,-0.064,0.011,0.983,20.79
1765930471.387570858,-0.049,-0.046,1.148,20.93
1765930471.488214970,-0.034,-0.215,1.002,20.93
1765930471.588414907,0.040,0.005,1.093,20.85
1765930471.689349174,-0.509,-0.716,0.339,20.73
1765930471.790007114,-0.201,0.226,1.061,20.73
1765930471.891610146,-0.030,-0.076,1.012,20.73
1765930471.992827892,-0.113,0.050,1.066,20.71
1765930472.093367100,0.117,0.486,1.128,20.81
1765930472.194394112,-0.043,0.023,1.033,20.81
1765930472.296100140,-0.081,-0.016,0.883,20.91
1765930472.396797895,0.013,-0.121,1.191,20.95
1765930472.498493910,-0.102,-0.123,0.855,20.95
1765930472.598554134,-0.065,0.189,1.070,20.91
1765930472.700503111,-0.109,-0.137,0.862,20.75
1765930472.801308870,-0.095,-0.165,0.953,20.75
1765930472.902076960,-0.159,-0.026,1.039,20.87
1765930473.002708912,-0.164,-0.043,0.836,20.79
1765930473.103059053,-0.101,0.124,1.076,20.79
1765930473.204438925,-0.090,-0.229,0.891,20.85
1765930473.306493998,-0.134,-0.369,1.221,20.85
1765930473.407212973,0.035,0.091,1.133,20.81
1765930473.507632971,-0.041,-0.101,1.121,20.81
