timestamp,ax_g,ay_g,az_g,temp_C
1765931546.240243912,-0.065,-0.020,1.017,21.01
1765931546.240833998,0.081,-0.066,1.010,20.85
1765931546.241253853,-0.102,-0.057,1.021,20.85
1765931546.241666079,-0.084,-0.014,1.019,20.81
1765931546.242073059,-0.079,-0.073,0.997,20.85
1765931546.339786053,0.133,-0.128,0.988,20.85
1765931546.439038038,-0.048,-0.004,1.035,20.99
1765931546.540868044,-0.053,-0.094,0.971,20.93
1765931546.641908884,-0.457,0.069,0.520,20.91
1765931546.743630171,-0.111,-0.073,0.992,20.91
1765931546.843918085,-0.079,-0.083,0.982,21.01
1765931546.944489956,-0.077,-0.081,0.991,20.93
1765931547.046304941,-0.287,0.007,1.015,20.93
1765931547.147379875,-0.170,-0.028,1.019,20.95
1765931547.247834206,-0.057,-0.076,0.986,21.07
1765931547.349261045,-0.074,-0.014,1.002,21.07
1765931547.449332952,0.109,0.254,1.156,20.97
1765931547.550512791,-0.069,-0.096,0.961,20.91
1765931547.651870966,-0.054,-0.012,1.017,20.93
1765931547.753182888,-0.063,-0.013,1.017,20.93
1765931547.853413105,-0.073,-0.268,0.703,21.01
1765931547.954157114,-0.099,-0.078,0.985,20.91
1765931548.055572033,-0.074,-0.011,1.021,20.91
1765931548.157402992,-0.077,-0.048,1.002,20.87
1765931548.258170843,-0.280,-0.182,0.859,20.91
1765931548.358915091,-0.118,0.009,1.022,20.91
1765931548.459722042,-0.074,-0.084,0.989,20.97
1765931548.561093092,-0.463,0.193,0.515,20.91
1765931548.662111044,-0.160,-0.049,1.013,20.91
1765931548.762446165,-0.072,-0.042,1.004,20.97
1765931548.863540888,-0.075,-0.072,0.989,21.05
1765931548.964875937,-0.319,-0.010,1.035,21.15
1765931549.066627026,-0.121,0.019,1.075,21.15
1765931549.167490005,-0.049,-0.069,0.985,21.07
1765931549.268303156,-0.069,-0.038,1.001,20.77
1765931549.369139910,0.091,0.167,1.194,20.77
1765931549.470799208,-0.069,-0.056,0.988,20.87
1765931549.570895910,-0.082,-0.030,1.009,20.85
1765931549.672269106,-0.070,-0.011,1.014,20.85
1765931549.773640871,-0.171,-0.107,0.920,20.99
1765931549.874052048,-0.063,-0.068,1.009,20.97
1765931549.975456953,-0.052,-0.041,1.022,20.83
1765931550.075802088,-0.068,-0.057,0.998,20.83
1765931550.177744865,-0.080,-0.083,1.074,20.83
1765931550.278066874,-0.078,-0.022,1.028,20.73
1765931550.379184246,-0.082,-0.072,0.990,20.73
1765931550.480697155,-0.244,-0.170,0.539,20.99
1765931550.581303120,-0.158,-0.082,0.985,21.03
1765931550.681536913,-0.096,-0.061,1.000,21.03
1765931550.783725023,-0.071,-0.068,0.985,21.13
1765931550.884073973,-0.233,-0.005,1.071,21.19
1765931550.985563993,-0.073,0.031,1.067,21.21
1765931551.085686922,-0.038,-0.043,0.992,21.21
1765931551.187685966,-0.070,-0.034,1.002,21.23
1765931551.288375139,0.093,0.070,1.175,20.99
1765931551.389513969,-0.101,-0.068,0.989,20.99
1765931551.489412069,-0.061,-0.022,1.011,20.87
1765931551.590809107,-0.081,-0.014,1.010,20.89
1765931551.692328930,-0.128,-0.048,0.991,20.89
1765931551.793648958,-0.124,-0.046,0.999,20.93
1765931551.893914938,-0.077,-0.048,1.016,21.03
1765931551.994788170,-0.065,-0.055,0.993,21.03
1765931552.097069025,0.000,-0.095,0.930,20.95
1765931552.197300911,-0.048,-0.034,1.019,21.03
1765931552.297549963,-0.097,-0.055,1.007,21.03
1765931552.399487972,-0.003,-0.371,1.014,21.03
1765931552.500746012,-0.112,-0.048,0.876,20.99
1765931552.600817919,-0.075,-0.078,1.003,21.07
1765931552.702250004,-0.068,-0.075,0.998,21.07
1765931552.803200006,-0.148,0.121,1.078,21.09
1765931552.903874159,-0.111,-0.076,0.969,21.03
1765931553.005194902,-0.061,-0.034,1.000,21.03
1765931553.106458187,-0.072,-0.031,0.999,21.07
1765931553.207103968,0.095,0.042,1.148,21.09
1765931553.307739973,-0.128,-0.077,1.058,21.17
1765931553.409378052,-0.079,-0.012,1.003,21.17
1765931553.510310888,-0.063,-0.035,1.002,21.13
1765931553.611620188,-0.158,-0.064,0.963,21.05
1765931553.712877035,-0.009,-0.010,1.034,21.05
1765931553.812805891,-0.058,-0.043,1.010,21.03
1765931553.913638830,-0.070,-0.066,1.001,20.95
1765931554.014343023,0.009,-0.100,0.932,20.95
1765931554.116544962,-0.103,-0.038,0.984,20.85
1765931554.217317820,-0.094,-0.062,0.995,21.03
1765931554.317484140,-0.045,-0.290,1.020,21.11
1765931554.419880867,-0.117,0.003,1.075,21.11
1765931554.521514893,-0.083,-0.060,1.001,21.05
1765931554.620924950,-0.091,-0.067,1.002,21.07
1765931554.722416162,0.233,0.201,1.101,21.07
1765931554.822778225,-0.023,-0.045,1.009,20.99
1765931554.924181938,-0.055,-0.054,1.004,21.07
1765931555.025925159,-0.071,-0.032,1.013,21.07
1765931555.126940966,0.057,-0.004,1.139,20.95
1765931555.227915049,-0.126,-0.171,0.937,20.99
1765931555.328821898,-0.086,-0.044,1.006,20.99
1765931555.429808855,0.067,-0.018,1.151,20.87
1765931555.530387878,-0.142,-0.005,1.010,20.93
1765931555.631302834,-0.095,0.027,0.978,21.01
1765931555.732197046,-0.074,-0.025,1.012,21.01
1765931555.833837032,-0.060,-0.063,0.998,20.91
1765931555.933964968,0.008,-0.107,0.940,20.89
1765931556.035111904,-0.005,-0.018,1.029,20.89
1765931556.135505915,-0.072,-0.072,0.991,20.99
1765931556.236741066,-0.056,-0.244,1.014,20.99
1765931556.337701082,-0.131,-0.008,1.079,20.99
1765931556.439857006,-0.078,-0.034,1.014,20.89
1765931556.539696217,-0.087,-0.065,1.005,20.99
1765931556.641626835,0.222,0.155,1.034,20.91
1765931556.742361069,-0.044,-0.061,1.003,20.91
1765931556.843398809,-0.045,-0.058,0.998,20.93
1765931556.943745136,-0.079,-0.037,1.006,20.95
1765931557.045581102,-0.179,-0.134,0.967,20.95
1765931557.146060944,-0.246,-0.270,0.932,21.03
1765931557.247294903,-0.073,-0.047,1.018,21.11
1765931557.348417997,-0.061,-0.034,0.998,21.11
1765931557.448790073,-0.009,-0.039,1.038,21.07
1765931557.550119877,-0.036,0.009,1.007,20.91
1765931557.651529074,-0.079,-0.034,1.005,20.91
1765931557.752943039,-0.069,-0.049,0.999,21.05
1765931557.853974104,-0.099,-0.131,0.879,21.01
1765931557.954324007,-0.010,-0.027,1.003,20.93
1765931558.055299997,-0.070,-0.073,1.001,20.93
1765931558.156018972,-0.083,-0.391,0.979,21.01
1765931558.258056879,-0.124,-0.021,1.016,20.93
1765931558.358304024,-0.121,-0.047,0.999,20.93
1765931558.458796978,-0.080,-0.052,1.004,20.89
1765931558.560297012,0.134,0.100,1.130,20.83
1765931558.661330938,-0.029,-0.032,0.994,20.83
1765931558.762017965,-0.038,-0.063,1.004,20.93
1765931558.862709045,-0.067,-0.035,1.009,20.91
1765931558.964715004,-0.070,-0.161,1.066,21.01
1765931559.065315008,-0.171,-0.239,0.898,21.01
1765931559.166110039,-0.096,-0.049,1.014,21.11
1765931559.267107010,-0.068,-0.039,1.001,20.93
1765931559.367853165,-0.123,-0.021,1.015,20.93
1765931559.469790936,-0.107,-0.030,0.953,20.89
1765931559.570286989,-0.075,-0.028,1.007,20.91
1765931559.670439959,-0.071,-0.051,1.001,20.91
1765931559.772473097,-0.037,-0.080,0.944,20.99
1765931559.873270035,-0.018,-0.031,1.025,21.03
1765931559.974534988,-0.080,-0.069,1.000,21.03
1765931560.075749874,-0.095,-0.279,0.992,21.05
1765931560.176700830,-0.095,-0.010,1.066,21.19
1765931560.276789904,-0.089,-0.040,0.991,21.19
1765931560.378803015,-0.081,-0.040,1.009,21.19
1765931560.479719877,0.159,0.157,1.103,21.19
1765931560.580976009,-0.031,-0.039,0.986,21.07
1765931560.681858063,-0.045,-0.054,1.000,21.07
1765931560.782699108,-0.062,-0.050,0.994,21.07
1765931560.883774996,0.051,0.048,1.140,21.07
1765931560.984461069,0.056,-0.017,0.913,21.07
1765931561.085706949,-0.097,-0.042,1.010,20.89
1765931561.186212063,-0.065,-0.048,1.002,20.93
1765931561.287101030,-0.130,-0.123,0.985,21.01
1765931561.389030933,-0.159,-0.091,1.012,21.01
1765931561.488803148,-0.073,-0.038,1.002,20.93
1765931561.589763165,-0.071,-0.056,1.004,20.99
1765931561.691898823,-0.018,-0.023,1.062,20.99
1765931561.792613029,-0.008,0.026,1.032,20.99
1765931561.893839836,-0.069,-0.061,1.000,21.01
1765931561.994153976,-0.153,-0.322,0.720,21.01
1765931562.095831156,-0.108,-0.068,1.010,20.97
1765931562.196313143,-0.102,-0.077,0.992,20.83
1765931562.298135042,-0.092,-0.042,0.998,20.87
1765931562.398908854,-0.129,-0.005,1.045,20.87
1765931562.499789000,-0.073,-0.037,1.012,20.95
1765931562.603285074,-0.043,-0.026,1.008,21.11
1765931562.701156139,-0.063,-0.044,1.003,21.11
1765931562.801413059,0.038,0.000,1.143,20.89
1765931562.902289867,0.056,-0.022,0.875,21.05
1765931563.003954887,-0.092,-0.044,0.994,21.05
1765931563.105144024,-0.086,-0.042,1.002,21.09
1765931563.205957174,-0.131,-0.141,0.951,21.03
1765931563.307984829,-0.084,-0.162,1.025,21.03
1765931563.408861876,-0.075,-0.063,1.002,21.17
1765931563.509040833,-0.075,-0.059,1.005,20.99
1765931563.610687971,-0.086,-0.008,0.978,21.01
1765931563.711196899,-0.085,0.020,1.005,21.01
1765931563.811927080,-0.080,-0.056,1.001,21.09
1765931563.914154053,-0.095,0.297,0.675,20.97
1765931564.014302015,-0.040,-0.036,1.026,20.97
1765931564.115957022,-0.042,-0.086,0.986,20.99
1765931564.216300011,-0.069,-0.045,1.007,20.95
1765931564.316867113,-0.323,-0.026,0.960,20.95
1765931564.418320894,-0.067,-0.045,0.990,20.91
1765931564.518445969,-0.088,-0.053,1.005,20.93
1765931564.619959116,-0.073,-0.047,1.003,20.97
1765931564.721259117,-0.049,0.067,0.984,20.97
1765931564.822710037,-0.043,0.051,1.158,20.97
1765931564.923151970,-0.069,-0.029,1.018,20.91
1765931565.024613857,-0.073,-0.041,1.001,20.91
1765931565.126139879,-0.002,-0.086,0.956,20.87
1765931565.226454020,-0.040,-0.161,0.954,20.87
1765931565.326969147,-0.066,-0.063,1.003,20.87
1765931565.427809000,-0.068,-0.051,1.008,20.91
1765931565.529953957,-0.110,-0.070,0.981,21.03
1765931565.630881071,-0.162,-0.088,0.949,21.03
1765931565.731693983,-0.090,-0.059,0.993,21.03
1765931565.832294941,0.231,0.035,1.602,20.99
1765931565.933850765,-0.038,0.004,1.042,20.91
1765931566.034961939,-0.038,-0.029,1.034,20.91
1765931566.135912895,-0.066,-0.039,1.010,21.01
1765931566.235841036,0.073,-0.089,0.991,21.01
1765931566.337308884,-0.066,-0.054,0.990,21.01
1765931566.438060045,-0.074,-0.064,0.995,20.95
1765931566.538727999,-0.071,-0.043,1.011,20.95
1765931566.640397072,-0.160,-0.066,0.965,20.95
1765931566.740943909,-0.155,-0.113,0.884,20.99
1765931566.842447758,-0.099,-0.057,1.001,20.99
1765931566.943711042,-0.069,-0.031,0.997,21.01
1765931567.044028997,-0.149,-0.104,1.007,21.01
1765931567.145392179,0.012,0.140,1.101,20.97
1765931567.247117043,-0.051,-0.034,1.003,20.89
1765931567.347952843,-0.071,-0.056,1.004,20.89
1765931567.448527813,-0.008,-0.021,1.058,21.01
1765931567.549453020,-0.109,-0.129,0.915,20.99
1765931567.649843931,-0.087,-0.062,0.996,20.99
1765931567.751046896,-0.188,0.098,0.857,21.03
1765931567.852364063,-0.040,-0.003,1.054,21.03
1765931567.953143120,-0.083,-0.052,1.033,21.03
1765931568.068938017,-0.076,-0.033,1.005,20.89
1765931568.154755116,-0.004,0.183,1.147,21.01
1765931568.256176233,-0.040,-0.086,0.968,20.93
1765931568.357647896,-0.044,-0.043,0.990,20.93
1765931568.457821846,-0.073,-0.042,1.008,20.93
1765931568.559933901,0.056,-0.059,0.931,20.99
1765931568.659665823,-0.066,-0.097,0.951,20.99
1765931568.761399031,-0.075,-0.043,0.998,20.97
1765931568.862010002,-0.060,-0.065,1.006,20.97
1765931568.963850975,-0.101,-0.094,0.909,20.97
1765931569.064254999,-0.212,-0.129,0.997,20.97
1765931569.164932013,-0.071,-0.052,0.999,21.05
1765931569.266819000,-0.069,-0.043,1.007,21.07
1765931569.367465973,-0.082,0.009,1.032,21.07
1765931569.468147993,0.001,0.044,1.067,21.05
1765931569.568602085,-0.070,-0.049,0.993,21.07
1765931569.670059919,0.007,-0.473,0.605,21.07
1765931569.770837069,-0.059,-0.033,1.017,21.01
1765931569.872378826,-0.081,-0.056,1.005,20.97
1765931569.973438025,-0.076,-0.040,1.008,20.97
1765931570.074801922,-0.075,0.064,1.226,21.07
1765931570.175369024,-0.046,-0.130,0.999,21.05
1765931570.276891947,-0.082,-0.037,1.013,21.01
1765931570.377306938,-0.069,-0.038,1.004,21.01
1765931570.478355885,-0.004,0.043,0.970,20.99
1765931570.579941034,-0.085,0.011,1.069,20.99
1765931570.681097031,-0.067,-0.037,0.991,20.99
1765931570.780797005,-0.072,-0.045,1.003,21.01
1765931570.882605076,-0.035,-0.180,0.928,20.97
1765931570.983757019,-0.054,-0.065,0.969,20.97
1765931571.084866047,-0.065,-0.058,0.997,21.05
1765931571.185707092,-0.074,-0.053,0.996,20.99
1765931571.285946131,-0.089,0.042,0.986,20.99
1765931571.387388945,-0.161,-0.069,0.995,20.91
1765931571.488703012,-0.078,-0.048,0.998,21.03
1765931571.589530230,0.304,0.249,1.699,20.97
1765931571.690227985,-0.034,0.009,1.043,20.97
1765931571.791889906,-0.075,-0.069,0.990,20.91
1765931571.892235994,-0.068,-0.035,1.009,20.91
1765931571.994048119,-0.151,-0.150,0.579,20.91
1765931572.094395876,-0.052,0.083,1.091,21.05
1765931572.195935011,-0.071,-0.042,0.982,21.07
1765931572.296549082,-0.064,-0.054,0.997,21.07
1765931572.397633076,-0.280,-0.107,0.983,20.99
1765931572.502332926,-0.147,-0.088,0.873,20.95
1765931572.598503828,-0.085,-0.055,1.004,20.97
1765931572.701107025,-0.079,-0.039,1.003,20.97
1765931572.802010775,0.071,0.002,1.009,21.07
1765931572.901677132,-0.104,-0.042,1.079,20.99
1765931573.003656864,-0.072,-0.058,0.999,20.99
1765931573.104366064,-0.059,-0.072,1.007,21.01
1765931573.204958916,-0.058,-0.074,0.979,21.01
1765931573.306661129,-0.060,-0.056,0.998,21.01
1765931573.407343149,-0.086,-0.040,1.010,20.93
1765931573.509124041,-0.156,-0.209,0.666,20.95
1765931573.613989115,-0.085,-0.044,0.989,20.95
1765931573.710213900,-0.070,-0.042,1.015,20.93
1765931573.812041998,-0.066,-0.038,0.995,20.95
1765931573.911791086,-0.002,0.061,1.208,20.99
1765931574.013288021,-0.168,-0.182,0.861,20.99
1765931574.115087986,-0.082,-0.048,1.014,21.05
1765931574.215399981,-0.077,-0.048,1.006,20.97
1765931574.316080093,-0.046,-0.060,1.000,20.97
1765931574.417237997,-0.040,-0.039,1.136,20.91
1765931574.518544912,-0.062,-0.042,1.013,21.03
