timestamp,ax_g,ay_g,az_g,temp_C
1765930666.697515965,0.006,-0.032,0.965,21.05
1765930666.698255062,-0.058,0.053,1.014,21.17
1765930666.698703051,-0.071,-0.017,1.005,21.17
1765930666.699131966,-0.067,-0.057,1.004,21.13
1765930666.699546099,-0.420,0.033,0.734,21.05
1765930666.721776247,-0.004,-0.074,1.091,21.05
1765930666.823544979,-0.115,-0.090,0.962,21.01
1765930666.923743963,-0.062,-0.053,0.996,20.97
1765930667.025511026,-0.322,-0.239,1.165,20.77
1765930667.125555992,-0.073,-0.055,0.947,20.77
1765930667.227505922,-0.068,-0.023,1.015,20.89
1765930667.329511881,-0.328,-0.072,0.721,20.93
1765930667.429120064,0.019,0.243,1.066,20.93
1765930667.530210972,-0.063,-0.066,0.985,20.95
1765930667.632203102,-0.061,-0.028,0.999,20.89
1765930667.731919765,-0.061,0.004,1.034,20.89
1765930667.833830833,-0.106,-0.263,1.027,21.07
1765930667.934556961,-0.103,-0.012,1.011,20.99
1765930668.035056114,-0.095,-0.024,0.988,21.01
1765930668.135802031,-0.042,-0.096,0.940,21.01
1765930668.237465143,-0.055,0.044,0.997,20.93
1765930668.338373899,-0.063,-0.035,1.003,20.93
1765930668.439379930,-0.053,-0.078,1.004,20.93
1765930668.540297985,-0.374,-0.091,0.592,20.99
1765930668.640734911,0.005,-0.116,1.067,21.01
1765930668.742017984,-0.089,-0.076,0.976,21.01
1765930668.843633890,-0.082,0.015,0.997,20.93
1765930668.944444895,-0.423,-0.286,1.009,21.03
1765930669.045104027,-0.047,-0.012,0.982,21.07
1765930669.146440029,-0.059,-0.038,1.017,21.07
1765930669.247605085,-0.108,-0.067,0.977,21.03
1765930669.347893000,-0.045,0.155,1.014,20.97
1765930669.449712038,-0.026,-0.052,1.001,20.97
1765930669.550237894,-0.079,-0.026,1.004,20.91
1765930669.651314020,-0.051,0.014,1.023,20.95
1765930669.752945900,-0.157,-0.235,1.003,20.95
1765930669.853180885,-0.091,-0.057,1.033,21.01
1765930669.962978125,-0.093,-0.030,0.996,21.17
1765930670.055764914,-0.020,0.007,1.094,21.17
1765930670.156876087,-0.041,0.030,1.032,21.11
1765930670.256898165,-0.078,-0.057,1.003,21.01
1765930670.358466148,-0.161,-0.053,0.907,21.09
1765930670.459681988,-0.471,-0.284,0.367,21.09
1765930670.561312914,-0.018,-0.139,1.060,21.15
1765930670.661381960,-0.098,-0.069,0.985,21.13
1765930670.762829065,-0.112,0.012,1.021,21.13
1765930670.863008022,-0.396,-0.307,0.841,21.15
1765930670.964020967,-0.033,-0.018,0.992,21.03
1765930671.065689087,-0.038,-0.034,1.017,21.03
1765930671.166452885,-0.096,-0.096,1.066,20.91
1765930671.267440796,-0.007,0.081,1.083,21.05
1765930671.367767096,-0.054,-0.068,0.994,21.03
1765930671.469533920,-0.085,-0.014,1.023,21.03
1765930671.570235968,-0.031,0.013,1.021,20.99
1765930671.671141863,-0.216,-0.164,0.920,21.05
1765930671.772021055,-0.092,-0.006,0.968,21.05
1765930671.873652935,-0.085,-0.054,1.004,21.07
1765930671.974508047,-0.002,-0.090,1.158,21.13
1765930672.076252937,-0.039,0.012,1.035,21.13
1765930672.176162958,-0.009,-0.035,1.015,21.11
1765930672.276836157,-0.033,-0.066,0.995,20.95
1765930672.378085136,-0.316,-0.473,0.562,20.95
1765930672.480295897,-0.045,-0.102,1.001,20.95
