timestamp,ax_g,ay_g,az_g,temp_C
1763505786.625924110,-0.096,0.970,0.035,36.39
1763505786.625924110,-0.066,0.982,0.099,36.27
1763505786.627939701,-0.105,1.008,0.153,36.27
1763505786.629954338,-0.027,1.011,0.047,36.31
1763505786.630314827,-0.103,0.989,0.064,36.29
1763505786.714776993,0.024,1.013,0.034,36.29
1763505786.816392422,-0.031,1.017,0.046,36.37
1763505786.920180321,-0.028,1.007,0.038,36.25
1763505787.018030643,-0.032,1.031,0.116,36.29
1763505787.122214556,-0.056,0.989,0.069,36.29
1763505787.217382669,-0.027,1.034,0.088,36.21
1763505787.325912237,-0.045,0.993,0.035,36.43
1763505787.426260948,-0.063,1.023,0.041,36.43
1763505787.520660639,-0.082,0.978,0.040,36.27
1763505787.636469364,-0.033,1.011,0.034,36.31
1763505787.731674671,-0.039,0.991,0.050,36.47
1763505787.828678846,-0.096,0.980,0.029,36.47
1763505787.924854755,-0.055,1.021,0.042,36.41
1763505788.024260044,-0.008,0.989,0.050,36.39
1763505788.131549358,-0.004,1.054,0.096,36.39
1763505788.228721857,-0.071,0.977,0.001,36.29
1763505788.337396622,-0.103,0.967,0.039,36.25
1763505788.434910059,-0.026,0.984,0.030,36.25
1763505788.531541109,-0.037,1.007,0.087,36.33
1763505788.631410122,-0.025,1.001,0.010,36.47
1763505788.738293409,-0.058,1.010,0.061,36.49
1763505788.846257448,0.016,1.023,0.106,36.49
1763505788.939190865,-0.073,0.989,0.095,36.47
1763505789.048430681,-0.036,1.013,0.011,36.41
1763505789.138551712,-0.148,0.960,-0.028,36.41
1763505789.237123728,-0.057,1.046,0.087,36.47
1763505789.340096712,-0.050,1.049,0.060,36.45
1763505789.439515114,-0.042,1.002,0.061,36.39
1763505789.544047594,-0.061,1.019,0.112,36.39
1763505789.643002272,-0.017,0.997,0.033,36.39
1763505789.744153261,-0.025,1.013,0.038,36.41
1763505789.853781462,-0.011,0.990,-0.007,36.41
1763505789.945137262,-0.046,1.018,0.057,36.37
1763505790.046444893,-0.047,1.000,0.026,36.43
1763505790.157735586,-0.075,1.005,0.074,36.45
1763505790.248021364,-0.075,0.976,0.050,36.45
1763505790.350683451,-0.030,1.007,0.043,36.39
1763505790.455713749,-0.039,0.982,0.055,36.41
1763505790.555533648,-0.036,0.989,0.048,36.41
1763505790.653030157,-0.059,0.995,0.062,36.47
1763505790.765553236,-0.046,1.007,0.087,36.41
1763505790.858854294,0.006,1.028,0.119,36.41
1763505790.962255478,-0.060,1.005,0.061,36.27
1763505791.058357239,-0.021,1.007,0.061,36.39
1763505791.156848431,-0.015,1.029,0.077,36.41
1763505791.262025833,-0.054,0.997,0.086,36.41
1763505791.361989260,0.004,1.003,0.072,36.41
1763505791.460174799,-0.073,1.005,0.058,36.33
1763505791.563473463,-0.077,0.998,0.108,36.33
1763505791.666325569,-0.025,1.015,0.029,36.31
1763505791.763457298,-0.109,0.971,0.076,36.51
1763505791.873272419,-0.002,1.063,0.112,36.51
1763505791.967690706,-0.071,0.961,-0.004,36.51
1763505792.076301098,-0.023,1.031,0.086,36.35
1763505792.176174641,-0.020,0.999,0.008,36.27
1763505792.266282797,-0.001,1.013,0.092,36.27
1763505792.373018026,-0.055,0.966,0.045,36.37
1763505792.470714092,-0.080,0.984,0.022,36.31
1763505792.581722021,-0.065,1.004,0.088,36.33
1763505792.674277067,-0.012,1.047,0.109,36.33
1763505792.778728724,-0.054,0.993,0.102,36.33
1763505792.883881569,-0.023,0.977,0.026,36.39
1763505792.979176760,-0.030,1.011,0.103,36.39
1763505793.082824945,-0.003,1.022,0.069,36.31
1763505793.179009199,-0.018,1.011,0.058,36.29
1763505793.277647257,-0.060,1.029,0.113,36.27
1763505793.386116505,-0.044,1.004,0.081,36.27
1763505793.486829281,-0.042,1.007,0.068,36.33
1763505793.581645012,-0.027,1.037,0.110,36.27
1763505793.690121412,-0.018,0.990,0.055,36.27
1763505793.787443161,-0.094,1.023,0.135,36.37
1763505793.884492874,-0.047,1.005,0.062,36.45
1763505793.992231369,-0.132,1.015,0.065,36.45
1763505794.089519024,-0.051,1.015,0.090,36.45
1763505794.189088106,-0.041,1.004,0.115,36.33
1763505794.290286064,-0.014,1.012,0.081,36.43
1763505794.392177105,0.014,1.045,0.125,36.43
1763505794.490546703,-0.058,0.995,0.043,36.43
1763505794.591966629,-0.020,1.041,0.096,36.31
1763505794.697165012,-0.029,0.983,0.027,36.31
1763505794.791954756,-0.001,1.025,0.065,36.25
1763505794.892256498,-0.069,0.978,0.106,36.23
1763505794.996548176,-0.027,1.033,0.087,36.37
1763505795.100241423,-0.030,1.011,0.055,36.37
1763505795.204320908,-0.059,0.967,0.000,36.37
1763505795.297136784,-0.051,1.029,0.067,36.39
1763505795.398753643,-0.085,0.973,0.040,36.39
1763505795.503754377,-0.062,0.984,0.053,36.33
1763505795.599662304,-0.007,1.005,0.083,36.33
1763505795.701520681,-0.036,0.976,0.053,36.23
1763505795.804476023,-0.058,0.995,0.098,36.23
1763505795.906090021,-0.026,1.004,0.079,36.29
1763505796.009517193,-0.074,1.001,0.075,36.37
1763505796.110163689,-0.029,1.038,0.068,36.37
1763505796.210052967,-0.040,1.003,0.084,36.29
1763505796.309093237,-0.085,0.988,0.074,36.29
1763505796.408850431,-0.057,0.995,-0.006,36.29
1763505796.512645960,0.006,1.042,0.060,36.29
1763505796.611198902,0.040,1.029,0.051,36.35
1763505796.712470055,-0.058,1.025,0.090,36.43
1763505796.816323519,-0.065,0.974,0.021,36.43
1763505796.912392855,-0.023,1.016,0.068,36.57
1763505797.015013218,-0.052,0.976,0.021,36.39
1763505797.120571375,-0.020,1.025,0.085,36.39
1763505797.215273619,-0.089,0.969,0.043,36.41
1763505797.319015503,-0.006,1.002,0.053,36.47
1763505797.422000170,-0.002,0.993,0.009,36.53
1763505797.525020599,-0.080,0.975,0.058,36.53
1763505797.622614861,-0.042,1.018,0.074,36.43
1763505797.731226444,-0.055,0.998,0.022,36.39
1763505797.823558569,-0.089,1.001,0.095,36.39
1763505797.929677725,-0.042,1.000,0.093,36.41
1763505798.034048796,-0.035,1.011,0.079,36.41
1763505798.132930994,-0.043,0.987,0.063,36.35
1763505798.233676195,-0.029,1.001,0.082,36.35
1763505798.329946041,-0.016,1.021,0.036,36.39
1763505798.427912235,-0.043,1.005,0.081,36.41
1763505798.531370401,-0.042,1.004,0.057,36.41
1763505798.642491579,-0.032,1.055,0.087,36.37
1763505798.730838776,-0.009,1.009,0.081,36.49
1763505798.834975958,-0.024,1.009,0.039,36.35
1763505798.939598083,0.007,1.030,0.102,36.35
1763505799.039198875,-0.055,1.001,0.052,36.47
1763505799.142680168,-0.099,0.951,-0.039,36.45
1763505799.240178585,0.013,1.047,0.032,36.45
1763505799.337715864,-0.029,0.961,0.033,36.45
1763505799.439576149,-0.000,1.035,0.083,36.47
1763505799.543639183,-0.044,1.016,0.089,36.45
1763505799.640425682,-0.092,0.988,0.071,36.45
1763505799.753662109,-0.027,1.021,0.060,36.51
1763505799.852049589,0.016,1.005,-0.032,36.47
1763505799.947137833,-0.072,0.998,0.073,36.47
1763505800.046996832,-0.057,0.985,-0.024,36.37
1763505800.150143862,-0.006,1.037,0.101,36.51
1763505800.249533176,-0.041,0.985,0.039,36.51
1763505800.349676847,-0.049,1.020,0.103,36.59
1763505800.457555056,-0.072,0.973,0.034,36.49
1763505800.550906897,-0.045,1.011,0.040,36.51
1763505800.661258936,-0.035,0.994,0.014,36.51
1763505800.754079580,-0.052,1.023,0.059,36.39
1763505800.859512091,-0.054,1.023,0.096,36.35
1763505800.957834721,-0.071,1.018,0.074,36.35
1763505801.061158419,-0.059,0.966,0.011,36.33
1763505801.159932613,-0.008,1.013,0.043,36.25
1763505801.258782864,-0.009,1.014,0.090,36.31
1763505801.358347893,0.009,1.024,0.036,36.31
1763505801.465016603,-0.061,0.968,0.004,36.41
1763505801.573906422,-0.014,1.003,0.122,36.31
1763505801.664264202,0.037,1.029,0.076,36.31
1763505801.768454313,-0.015,0.994,0.070,36.29
1763505801.877651691,-0.099,0.979,0.039,36.17
1763505801.966775894,-0.015,1.029,0.019,36.39
