timestamp,ax_g,ay_g,az_g,temp_C,elapsed_sec,reading_num,vibration_magnitude,temp_rate,vibration_rate
2025-11-10 18:41:55.059000015,-0.072,-0.995,0.02,24.91,0.0,1,0.9978020845839118,,
2025-11-10 18:41:55.061000109,-0.036,-0.994,-0.027,24.91,0.002000093460083008,2,0.9950180902878097,0.0,-1.3919317272598684
2025-11-10 18:41:55.062999964,-0.119,-1.019,0.011,24.91,0.003999948501586914,3,1.0259839180026167,0.0,15.484036450046096
2025-11-10 18:41:55.065000057,-0.041,-1.029,0.038,24.91,0.006000041961669922,4,1.0305173458025827,0.0,2.266608502687633
2025-11-10 18:41:55.066999911,0.024,-0.947,-0.063,24.91,0.007999897003173828,5,0.9493966505102068,0.0,-40.563308767727975
2025-11-10 18:41:55.069000006,0.022,-0.963,-0.082,24.91,0.009999990463256836,6,0.9667352274537221,0.0,8.668876700114375
2025-11-10 18:41:55.071000099,0.002,-0.992,-0.024,24.91,0.012000083923339844,7,0.9922922956468019,0.0,12.777939922333506
2025-11-10 18:41:55.072999954,-0.007,-0.996,0.077,24.91,0.01399993896484375,8,0.998996496490353,0.0,3.3523434666769174
2025-11-10 18:41:55.075000048,-0.101,-1.054,0.095,24.91,0.016000032424926758,9,1.063081370356945,0.0,32.040931009538554
2025-11-10 18:41:55.076999903,-0.011,-0.975,0.036,24.91,0.017999887466430664,10,0.9757263960762771,0.0,-43.680653987748094
2025-11-10 18:41:55.078999996,0.061,-0.978,0.031,24.91,0.019999980926513672,11,0.9803907384303464,0.0,2.3320627361174293
2025-11-10 18:41:55.081000090,0.037,-1.02,0.024,24.91,0.02200007438659668,12,1.0209529861849662,0.0,20.280170709286566
2025-11-10 18:41:55.082999945,0.045,-1.005,-0.045,24.91,0.023999929428100586,13,1.0070129095498228,0.0,-6.970543681988647
2025-11-10 18:41:55.085000038,-0.064,-0.974,0.03,24.91,0.026000022888183594,14,0.9765613139992798,0.0,-15.2250898085954
2025-11-10 18:41:55.086999893,-0.051,-1.015,-0.009,24.91,0.0279998779296875,15,1.0163203235200995,0.0,19.88094612900419
2025-11-10 18:41:55.088999987,-0.018,-0.967,-0.019,24.91,0.029999971389770508,16,0.9673541233695134,0.0,-24.481949423670116
2025-11-10 18:41:55.091000080,-0.0,-0.989,0.018,24.91,0.032000064849853516,17,0.9891637882575363,0.0,10.904325392880645
2025-11-10 18:41:55.092999935,-0.018,-0.949,0.052,24.91,0.03399991989135742,18,0.9505940248076462,0.0,-19.28627998024359
2025-11-10 18:41:55.095000029,-0.012,-1.013,0.009,24.91,0.03600001335144043,19,1.013111050181568,0.0,31.25704360591147
2025-11-10 18:41:55.096999884,-0.012,-1.003,-0.048,24.91,0.037999868392944336,20,1.0042195974984753,0.0,-4.446048680075691
2025-11-10 18:41:55.098999977,-0.079,-1.022,-0.089,24.91,0.039999961853027344,21,1.0289052434505328,0.0,12.342249061447376
2025-11-10 18:41:55.101000071,-0.065,-0.984,-0.106,24.91,0.04200005531311035,22,0.991825085385523,0.0,-18.539207689743456
2025-11-10 18:41:55.102999926,-0.024,-1.02,0.047,24.91,0.04399991035461426,23,1.0213642836911814,0.0,14.770670026406075
2025-11-10 18:41:55.105000019,-0.026,-0.973,0.084,24.91,0.046000003814697266,24,0.9769651989707718,0.0,-22.19851012948375
2025-11-10 18:41:55.107000113,0.048,-0.985,-0.012,24.91,0.04800009727478027,25,0.9862418567471166,0.0,4.638110896960237
2025-11-10 18:41:55.108999968,0.032,-0.991,0.056,24.91,0.04999995231628418,26,0.9930966720314796,0.0,3.4276561472521436
2025-11-10 18:41:55.111000061,-0.034,-1.012,0.031,24.91,0.05200004577636719,27,1.0130454086564924,0.0,9.973904525945963
2025-11-10 18:41:55.112999916,-0.084,-0.956,-0.044,24.91,0.053999900817871094,28,0.9606914176779139,0.0,-26.178893459065037
2025-11-10 18:41:55.115000010,-0.116,-0.995,-0.077,24.91,0.0559999942779541,29,1.0046939832605748,0.0,22.000248779637815
2025-11-10 18:41:55.117000103,-0.039,-0.998,-0.09,24.91,0.05800008773803711,30,1.002808556006579,0.0,-0.9426697928525698
2025-11-10 18:41:55.118999958,0.032,-0.976,-0.022,24.79,0.059999942779541016,31,0.9767722354776471,-60.00435031539836,-13.019104149516734
2025-11-10 18:41:55.121000051,-0.023,-1.042,0.029,24.79,0.06200003623962402,32,1.0426571823950574,0.0,32.94094170491588
2025-11-10 18:41:55.122999907,-0.017,-0.998,-0.018,24.79,0.06399989128112793,33,0.9983070669889099,0.0,-22.17665442219216
2025-11-10 18:41:55.125000000,-0.058,-1.002,-0.045,24.79,0.06599998474121094,34,1.0046855229374014,0.0,3.1890796820405414
2025-11-10 18:41:55.127000093,-0.051,-0.992,-0.019,24.79,0.06800007820129395,35,0.9934918218083125,0.0,-5.596590323094429
2025-11-10 18:41:55.128999949,-0.059,-1.018,0.024,24.79,0.06999993324279785,36,1.0199906862319872,0.0,13.250386239646586
2025-11-10 18:41:55.131000042,0.015,-0.972,0.024,24.79,0.07200002670288086,37,0.9724119497414663,0.0,-23.78826209107322
2025-11-10 18:41:55.132999897,0.036,-0.981,-0.054,24.79,0.07399988174438477,38,0.9831444451350981,0.0,5.3666367779823325
2025-11-10 18:41:55.134999990,-0.048,-1.019,-0.04,24.79,0.07599997520446777,39,1.0209138063519367,0.0,18.88380251160251
2025-11-10 18:41:55.137000084,-0.046,-1.058,-0.008,24.79,0.07800006866455078,40,1.0590297446247674,0.0,19.057073453962996
