,ax_g,ay_g,az_g,temp_C,vibration_magnitude
count,29837.0,29837.0,29837.0,29837.0,29837.0
mean,-0.021301136173207766,-0.9972905452961088,-0.003266581760900895,25.82259510004357,0.999950616148202
std,0.05090470926388612,0.03194231432846406,0.04790658770165445,1.4398015073359944,0.032528225806995055
min,-0.221,-1.141,-0.221,24.69,0.8743740618293752
25%,-0.055,-1.019,-0.035,25.01,0.9781661413072935
50%,-0.021,-0.997,-0.004,25.23,0.9995549009434149
75%,0.012,-0.976,0.029,25.47,1.0213544928182376
max,0.194,-0.867,0.199,29.07,1.161715111376279
