timestamp,ax_g,ay_g,az_g,temp_C
1763077532.179296732,-0.108,0.021,1.001,24.79
1763077532.196352005,-0.109,0.020,1.007,24.79
1763077532.204540253,-0.112,0.021,1.005,24.79
1763077532.214347601,-0.110,0.021,1.003,24.79
1763077532.222406864,-0.109,0.024,1.001,24.79
1763077532.230653763,-0.109,0.022,1.001,24.79
1763077532.246536493,-0.110,0.023,1.005,24.79
1763077532.249598265,-0.108,0.020,1.001,24.79
1763077532.262885094,-0.108,0.020,1.004,24.79
1763077532.278903008,-0.108,0.020,1.001,24.79
1763077532.288561821,-0.105,0.022,0.996,24.79
1763077532.297852278,-0.105,0.022,0.997,24.79
1763077532.304960728,-0.111,0.018,1.001,24.79
1763077532.313124895,-0.107,0.020,1.002,24.79
1763077532.329840183,-0.105,0.024,1.001,24.79
1763077532.342373133,-0.106,0.021,0.998,24.79
1763077532.355000019,-0.111,0.023,1.001,24.79
1763077532.363503695,-0.109,0.023,1.005,24.79
1763077532.374918461,-0.108,0.022,1.002,24.79
1763077532.382124186,-0.109,0.024,0.998,24.79
1763077532.392425776,-0.109,0.022,1.003,24.79
1763077532.405844212,-0.108,0.022,1.006,24.79
1763077532.415340662,-0.108,0.022,0.997,24.79
1763077532.431745529,-0.108,0.023,1.001,24.79
1763077532.447687387,-0.107,0.021,1.004,24.79
1763077532.456892014,-0.108,0.020,1.002,24.79
1763077532.466157913,-0.105,0.023,1.001,24.79
1763077532.479822397,-0.105,0.020,1.000,24.79
1763077532.493733406,-0.108,0.022,0.998,24.79
1763077532.507879257,-0.107,0.024,0.997,24.79
1763077532.516160011,-0.107,0.020,1.000,24.79
1763077532.533766031,-0.107,0.022,1.000,24.79
1763077532.540717602,-0.105,0.021,1.006,24.79
1763077532.557224989,-0.109,0.021,1.002,24.89
1763077532.573273897,-0.109,0.023,1.003,24.89
1763077532.589819908,-0.109,0.020,1.004,24.89
1763077532.602099180,-0.109,0.023,1.004,24.89
1763077532.612239361,-0.109,0.023,0.997,24.89
1763077532.626867294,-0.109,0.020,1.003,24.89
1763077532.642900229,-0.108,0.021,1.002,24.89
1763077532.655905008,-0.108,0.025,0.995,24.89
1763077532.665074110,-0.107,0.022,1.001,24.89
1763077532.672004938,-0.106,0.021,1.001,24.89
1763077532.690807343,-0.107,0.021,0.998,24.89
1763077532.694837332,-0.109,0.021,1.000,24.89
1763077532.705190897,-0.106,0.020,1.001,24.89
1763077532.721082687,-0.107,0.021,1.000,24.89
1763077532.729967833,-0.109,0.021,1.003,24.89
1763077532.737406731,-0.107,0.023,1.001,24.89
1763077532.747105598,-0.108,0.021,1.002,24.89
1763077532.762601137,-0.108,0.020,1.002,24.89
1763077532.773257017,-0.110,0.025,1.002,24.89
1763077532.781420708,-0.107,0.022,1.005,24.89
1763077532.789853811,-0.109,0.024,1.001,24.89
1763077532.801457405,-0.108,0.024,0.999,24.89
1763077532.815157413,-0.107,0.021,1.001,24.89
1763077532.818285227,-0.108,0.021,1.000,24.89
1763077532.831835747,-0.107,0.022,0.998,24.89
1763077532.838520765,-0.107,0.021,0.998,24.89
1763077532.854606628,-0.107,0.021,1.003,24.89
1763077532.864805937,-0.107,0.022,0.997,24.89
1763077532.871473312,-0.108,0.023,0.999,24.89
1763077532.885966063,-0.107,0.020,1.006,24.89
1763077532.897212505,-0.109,0.020,1.005,24.89
1763077532.906196833,-0.109,0.021,1.003,24.89
1763077532.916361332,-0.108,0.024,0.998,24.89
1763077532.933205605,-0.106,0.024,1.004,24.89
1763077532.948815346,-0.108,0.024,1.000,24.89
1763077532.959045410,-0.110,0.023,1.001,24.89
1763077532.964479208,-0.109,0.021,1.003,24.89
1763077532.979496002,-0.109,0.023,1.000,24.89
1763077532.988727808,-0.108,0.022,1.004,24.89
1763077532.997372866,-0.108,0.022,1.001,24.89
1763077533.004132748,-0.107,0.023,1.000,24.89
1763077533.015305758,-0.109,0.020,0.999,24.89
1763077533.031138420,-0.108,0.021,0.999,24.89
1763077533.039297104,-0.108,0.022,0.999,24.89
1763077533.047997713,-0.109,0.022,0.996,24.89
1763077533.064103365,-0.109,0.021,1.001,24.89
1763077533.072007656,-0.108,0.021,1.002,24.89
1763077533.081820488,-0.109,0.022,1.001,24.89
1763077533.093811750,-0.109,0.020,1.005,24.93
1763077533.105732918,-0.108,0.022,1.007,24.93
1763077533.114452362,-0.109,0.022,1.000,24.93
1763077533.122693777,-0.110,0.021,1.001,24.93
1763077533.139496803,-0.106,0.023,0.998,24.93
1763077533.147576332,-0.107,0.023,1.000,24.93
1763077533.155896902,-0.105,0.021,1.005,24.93
1763077533.164557934,-0.106,0.019,1.003,24.93
1763077533.172839642,-0.108,0.021,1.003,24.93
1763077533.189837217,-0.108,0.022,0.997,24.93
1763077533.198868990,-0.107,0.022,0.996,24.93
1763077533.205709934,-0.108,0.020,1.001,24.93
1763077533.222793102,-0.108,0.024,0.998,24.93
1763077533.231372356,-0.107,0.020,1.005,24.93
1763077533.247273207,-0.109,0.022,1.003,24.93
1763077533.255561113,-0.109,0.022,0.999,24.93
1763077533.266881227,-0.109,0.024,1.001,24.93
1763077533.274264574,-0.109,0.023,1.002,24.93
1763077533.281701803,-0.109,0.024,0.999,24.93
1763077533.306261539,-0.110,0.022,1.004,24.93
1763077533.318316460,-0.109,0.021,1.003,24.93
1763077533.335410833,-0.108,0.021,1.004,24.93
1763077533.349284887,-0.108,0.019,1.004,24.93
1763077533.358398199,-0.108,0.021,1.001,24.93
1763077533.375363588,-0.107,0.022,0.999,24.93
1763077533.391368866,-0.107,0.021,1.001,24.93
1763077533.408843994,-0.108,0.021,0.999,24.93
1763077533.416331053,-0.108,0.021,0.997,24.93
1763077533.430250645,-0.107,0.021,0.999,24.93
1763077533.439806461,-0.108,0.020,1.000,24.93
1763077533.449427605,-0.110,0.021,1.001,24.93
1763077533.456062555,-0.109,0.021,1.001,24.93
1763077533.471713543,-0.109,0.021,1.001,24.93
1763077533.479338169,-0.109,0.023,1.001,24.93
1763077533.487626553,-0.108,0.023,1.000,24.93
1763077533.495899439,-0.109,0.023,1.000,24.93
1763077533.513088465,-0.108,0.021,1.002,24.93
1763077533.520252466,-0.107,0.021,1.001,24.93
1763077533.530954599,-0.108,0.022,1.003,24.93
1763077533.544354677,-0.108,0.022,1.001,24.93
1763077533.562975645,-0.107,0.022,0.998,24.93
1763077533.576748848,-0.107,0.022,0.997,24.93
1763077533.594076872,-0.108,0.020,1.000,24.93
1763077533.603571415,-0.106,0.021,0.998,24.93
1763077533.621016026,-0.106,0.020,0.999,24.93
1763077533.631888390,-0.107,0.022,1.003,24.93
1763077533.646417379,-0.108,0.021,1.003,24.93
1763077533.654630423,-0.108,0.021,1.001,24.93
1763077533.670640230,-0.110,0.023,1.002,24.89
1763077533.696542740,-0.109,0.021,1.003,24.89
1763077533.713468790,-0.110,0.024,1.003,24.89
1763077533.718647003,-0.108,0.021,1.001,24.89
1763077533.730881691,-0.109,0.022,1.003,24.89
1763077533.748973370,-0.110,0.020,1.003,24.89
1763077533.763782501,-0.108,0.022,1.001,24.89
1763077533.771531582,-0.108,0.021,1.001,24.89
1763077533.779927492,-0.108,0.021,1.001,24.89
1763077533.797223568,-0.107,0.022,0.997,24.89
1763077533.806183577,-0.106,0.022,0.996,24.89
1763077533.815527678,-0.106,0.021,1.001,24.89
1763077533.831226110,-0.107,0.022,1.001,24.89
1763077533.847623348,-0.107,0.022,1.000,24.89
1763077533.855675936,-0.107,0.021,1.004,24.89
1763077533.863816977,-0.108,0.023,1.003,24.89
1763077533.881834745,-0.107,0.022,1.002,24.89
1763077533.896044493,-0.108,0.022,1.001,24.89
1763077533.904253244,-0.109,0.022,1.003,24.89
1763077533.914898634,-0.109,0.022,1.005,24.89
1763077533.923062801,-0.108,0.022,1.003,24.89
1763077533.932145596,-0.108,0.023,1.000,24.89
1763077533.948260307,-0.108,0.022,1.000,24.89
1763077533.958777189,-0.107,0.021,0.999,24.89
1763077533.971912622,-0.107,0.022,0.999,24.89
1763077533.980804205,-0.107,0.021,0.996,24.89
1763077533.990131617,-0.106,0.022,0.997,24.89
1763077534.013123751,-0.108,0.020,1.002,24.89
1763077534.030490875,-0.107,0.022,0.999,24.89
1763077534.036921740,-0.108,0.023,1.000,24.89
1763077534.053914309,-0.110,0.021,1.004,24.89
1763077534.065812111,-0.110,0.021,1.002,24.89
1763077534.079191923,-0.110,0.022,1.002,24.89
1763077534.096887589,-0.110,0.021,1.003,24.89
1763077534.104072332,-0.111,0.024,1.004,24.89
1763077534.114397287,-0.110,0.023,1.004,24.89
1763077534.130116463,-0.110,0.022,1.004,24.89
1763077534.143437624,-0.110,0.022,1.003,24.89
1763077534.153854370,-0.108,0.022,0.999,24.89
1763077534.163638592,-0.108,0.022,1.000,24.89
1763077534.176289082,-0.109,0.020,1.000,24.89
1763077534.196485043,-0.108,0.021,0.995,24.89
1763077534.204047680,-0.107,0.021,0.995,24.89
1763077534.220091581,-0.107,0.020,0.999,24.89
1763077534.242408276,-0.108,0.021,0.998,24.89
1763077534.249646425,-0.107,0.020,1.000,24.89
1763077534.266489267,-0.108,0.022,1.004,24.89
1763077534.273760319,-0.109,0.022,1.004,24.89
1763077534.289310932,-0.108,0.022,1.004,24.97
1763077534.305214882,-0.108,0.023,1.004,24.97
1763077534.314250469,-0.109,0.022,1.003,24.97
1763077534.329377890,-0.108,0.023,1.004,24.97
1763077534.337188244,-0.109,0.022,1.002,24.97
1763077534.354030132,-0.108,0.022,1.001,24.97
1763077534.364279747,-0.107,0.021,1.005,24.97
1763077534.374075890,-0.107,0.022,1.000,24.97
1763077534.386101961,-0.107,0.020,0.999,24.97
1763077534.396085978,-0.106,0.022,0.997,24.97
1763077534.405756950,-0.106,0.022,0.995,24.97
1763077534.416130781,-0.107,0.021,0.999,24.97
1763077534.422511578,-0.106,0.022,0.997,24.97
1763077534.432690620,-0.106,0.022,0.999,24.97
1763077534.447690010,-0.109,0.021,1.001,24.97
1763077534.454697132,-0.110,0.022,1.002,24.97
1763077534.465002537,-0.109,0.023,1.005,24.97
1763077534.480435610,-0.110,0.022,1.003,24.97
1763077534.487577915,-0.110,0.023,1.005,24.97
1763077534.498689890,-0.109,0.022,1.005,24.97
1763077534.513528585,-0.110,0.023,1.006,24.97
1763077534.522023439,-0.108,0.022,1.004,24.97
1763077534.530809879,-0.107,0.021,1.003,24.97
1763077534.546311378,-0.109,0.020,1.000,24.97
1763077534.554445267,-0.107,0.021,0.998,24.97
1763077534.565882921,-0.105,0.020,0.998,24.97
1763077534.578410149,-0.106,0.021,0.994,24.97
1763077534.587219954,-0.106,0.021,0.995,24.97
1763077534.598773479,-0.106,0.021,0.997,24.97
1763077534.605672121,-0.107,0.020,0.999,24.97
1763077534.614042997,-0.108,0.021,1.000,24.97
1763077534.627211571,-0.109,0.020,1.003,24.97
1763077534.644331455,-0.108,0.022,1.003,24.97
1763077534.655039072,-0.108,0.024,1.003,24.97
1763077534.671756268,-0.110,0.022,1.004,24.97
1763077534.681167364,-0.110,0.023,1.004,24.97
1763077534.696958065,-0.108,0.023,1.003,24.97
1763077534.706177235,-0.110,0.023,1.003,24.97
1763077534.721571922,-0.108,0.021,1.003,24.97
1763077534.737013578,-0.108,0.023,0.998,24.97
1763077534.748473167,-0.108,0.021,0.999,24.97
1763077534.761493206,-0.106,0.021,0.998,24.97
1763077534.771877289,-0.107,0.023,0.995,24.97
1763077534.780149460,-0.106,0.022,0.996,24.97
1763077534.788172245,-0.106,0.021,0.999,24.97
1763077534.807074308,-0.107,0.021,1.000,24.97
1763077534.817544937,-0.107,0.022,1.001,24.97
1763077534.830405474,-0.109,0.021,1.004,24.95
1763077534.840938091,-0.110,0.022,1.002,24.95
1763077534.848390818,-0.108,0.023,1.004,24.95
1763077534.864627123,-0.109,0.022,1.006,24.95
1763077534.873068810,-0.112,0.022,1.003,24.95
1763077534.883315563,-0.110,0.023,1.004,24.95
1763077534.896961689,-0.110,0.021,1.005,24.95
1763077534.908960819,-0.110,0.023,1.003,24.95
1763077534.916295767,-0.108,0.021,1.001,24.95
