timestamp,ax_g,ay_g,az_g,temp_C
1763506110.560508251,-0.041,0.979,0.052,37.41
1763506110.563428402,0.049,1.035,0.027,37.39
1763506110.564031124,-0.040,0.999,0.063,37.47
1763506110.565944910,-0.056,1.003,0.113,37.47
1763506110.566916704,0.032,1.051,0.142,37.31
1763506110.566916704,0.001,1.018,0.094,37.45
1763506110.679931402,-0.013,1.017,0.111,37.45
1763506110.772113323,-0.111,0.992,0.054,37.45
1763506110.873869896,-0.063,0.999,0.061,37.51
1763506110.971092939,-0.033,1.026,0.092,37.59
1763506111.081525564,-0.050,0.977,0.012,37.59
1763506111.176055193,0.048,1.026,0.041,37.53
1763506111.274868965,-0.029,1.004,0.078,37.37
1763506111.376664400,-0.072,1.044,0.084,37.37
1763506111.484885216,-0.039,0.956,0.011,37.41
1763506111.582126856,-0.043,1.023,0.136,37.33
1763506111.686054468,-0.099,0.952,0.001,37.35
1763506111.782062292,-0.079,0.982,0.100,37.35
1763506111.882839918,-0.010,1.022,0.063,37.31
1763506111.982145548,-0.066,1.057,0.037,37.33
1763506112.085040331,-0.033,0.997,0.073,37.33
1763506112.183841944,-0.094,0.998,0.087,37.33
1763506112.290241003,-0.081,1.025,0.095,37.53
1763506112.397393942,-0.029,1.004,0.074,37.51
1763506112.496926069,-0.041,1.025,0.124,37.51
1763506112.588355541,-0.031,1.060,0.168,37.45
1763506112.703664780,-0.127,0.952,0.112,37.43
1763506112.795200109,-0.085,0.990,0.076,37.43
1763506112.899204254,-0.012,1.011,0.050,37.47
1763506112.994766235,-0.057,0.998,-0.008,37.41
1763506113.100040674,-0.025,0.988,0.012,37.41
1763506113.196607590,-0.166,0.947,0.073,37.55
1763506113.298069000,-0.136,0.902,-0.022,37.53
1763506113.400161266,-0.020,1.020,0.017,37.51
1763506113.501743317,-0.134,0.919,0.017,37.51
1763506113.603617907,-0.010,1.005,0.061,37.45
1763506113.704344034,-0.005,1.010,0.051,37.47
1763506113.805500984,-0.046,0.995,0.056,37.47
1763506113.904343367,-0.014,1.052,0.105,37.51
1763506114.000989437,-0.062,0.993,0.090,37.49
1763506114.102637768,-0.034,1.019,0.107,37.53
1763506114.203008413,-0.104,0.978,0.039,37.53
1763506114.306822062,0.069,1.046,0.056,37.53
1763506114.404595852,-0.089,1.013,0.046,37.35
1763506114.508453846,-0.046,0.982,-0.038,37.35
1763506114.617244720,-0.165,0.942,-0.075,37.41
1763506114.716440916,-0.008,1.039,0.057,37.55
1763506114.810846806,-0.021,0.980,0.037,37.47
1763506114.920668602,-0.065,1.052,0.142,37.47
1763506115.011947870,-0.065,0.959,0.036,37.39
1763506115.114581108,-0.095,0.958,0.052,37.51
1763506115.223016977,0.044,0.985,0.056,37.51
1763506115.314382076,0.074,1.075,0.059,37.41
1763506115.418071508,-0.071,1.041,0.133,37.45
1763506115.516051292,-0.018,1.032,0.052,37.63
1763506115.618058443,-0.057,0.998,0.138,37.63
1763506115.730109215,0.010,1.000,0.157,37.51
1763506115.824160337,-0.029,1.009,-0.047,37.37
1763506115.925902605,-0.063,1.004,0.012,37.37
1763506116.042176962,-0.008,1.007,0.021,37.39
1763506116.121283054,-0.012,0.992,0.095,37.41
1763506116.222802639,-0.038,0.999,0.024,37.41
1763506116.331946611,-0.026,0.992,0.076,37.41
1763506116.429673910,-0.025,0.978,0.071,37.45
1763506116.526477575,-0.038,0.976,0.030,37.41
1763506116.635757208,-0.030,0.983,0.095,37.41
1763506116.733108521,-0.103,1.010,0.155,37.57
1763506116.832873106,-0.020,1.028,0.083,37.45
1763506116.930416584,-0.011,1.075,0.109,37.45
1763506117.033546209,-0.035,1.011,0.006,37.37
1763506117.131946325,0.099,1.065,0.019,37.35
1763506117.234562397,-0.073,0.989,0.075,37.37
1763506117.346018314,-0.127,0.991,0.055,37.37
1763506117.437137604,-0.175,0.964,0.116,37.37
1763506117.545185566,0.052,1.011,0.038,37.27
1763506117.637035370,-0.005,1.059,0.120,37.27
1763506117.738699436,-0.063,0.985,0.046,37.33
1763506117.841166019,0.055,1.036,0.139,37.37
1763506117.944853306,-0.001,0.997,0.071,37.27
1763506118.046992779,-0.088,0.987,0.055,37.27
1763506118.147578955,-0.105,1.017,0.087,37.37
1763506118.248333216,-0.049,0.964,0.002,37.39
1763506118.345106363,-0.062,0.966,0.097,37.39
1763506118.448823690,-0.030,1.011,0.106,37.45
1763506118.550593853,-0.011,0.997,0.032,37.55
1763506118.648725510,-0.090,1.003,0.099,37.55
1763506118.757007360,-0.001,1.041,0.064,37.55
1763506118.852989197,-0.031,0.983,0.119,37.57
